D = 2;
n = [ 5 5 ];
N = 58;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.92 0.19 0.96 0.35 0.18 0.34 0.50 0.34 0.18 0.88 0.75 0.26 0.93 0.08 0.69 0.75 0.77 0.09 0.34 0.76 0.18 0.17 0.11 0.39 0.95 0.34 0.08 0.07 0.21 0.80 0.78 0.80 0.88 0.75 0.77 0.88 0.67 0.16 0.09 0.24 0.90 0.23 0.70 0.46 0.26 0.54 0.72 0.53 0.67 0.58 0.03 0.68 0.40 0.84 0.63 0.89 0.58 ]
[0.92 1.00 0.11 0.18 0.85 0.58 0.97 0.29 0.15 0.07 0.70 0.53 0.17 0.94 0.82 0.97 0.11 0.18 0.29 0.74 0.29 0.62 0.31 0.96 0.95 0.27 0.25 0.83 0.71 0.12 0.29 0.63 0.60 0.40 0.45 0.86 0.36 0.50 0.79 0.89 0.69 0.23 0.80 0.23 0.66 0.03 0.92 0.71 0.30 0.46 0.72 1.00 0.23 0.36 0.52 0.61 0.05 0.93 ]
[0.19 0.11 1.00 0.57 0.15 0.09 0.89 0.53 0.67 0.68 0.87 0.31 0.87 0.01 0.16 0.32 0.81 0.53 0.91 0.15 0.79 0.58 0.19 0.35 0.42 0.19 0.20 0.11 0.09 0.01 0.54 0.97 0.64 0.45 0.61 0.77 0.60 0.98 0.17 0.84 0.93 0.50 0.67 0.50 0.22 0.45 0.20 0.80 0.14 0.37 0.69 0.84 0.37 0.68 0.94 0.37 0.46 0.78 ]
[0.96 0.18 0.57 1.00 0.54 0.26 0.13 0.90 0.38 0.45 0.12 0.75 0.00 0.12 0.76 0.61 0.35 0.20 0.01 0.45 0.43 0.34 0.50 0.28 0.86 0.93 0.54 0.06 0.04 0.51 0.97 0.57 0.20 0.58 0.56 0.43 0.59 0.90 0.29 0.63 0.51 0.29 0.90 0.02 0.67 0.42 0.76 0.63 0.56 0.92 0.62 0.33 0.67 0.37 0.50 0.13 0.00 0.55 ]
[0.35 0.85 0.15 0.54 1.00 0.38 0.66 0.99 0.14 0.79 0.48 0.57 0.40 0.89 0.58 0.64 0.25 0.46 0.41 0.75 0.87 0.41 0.59 0.66 0.61 0.55 0.19 0.69 0.48 0.42 0.78 0.56 0.63 0.90 0.44 0.74 0.28 0.70 0.35 0.90 0.39 0.25 0.56 0.82 0.50 1.00 0.53 0.15 0.28 0.81 0.51 0.72 0.98 0.12 0.29 0.44 0.70 0.58 ]
[0.18 0.58 0.09 0.26 0.38 1.00 0.79 0.94 0.59 0.77 0.98 0.13 0.38 0.46 0.38 0.20 0.54 0.21 0.86 0.99 0.26 0.32 0.55 0.26 0.74 0.15 0.84 0.47 0.54 0.24 0.72 0.75 0.43 0.59 0.49 0.44 0.90 0.70 0.39 0.34 0.18 0.42 0.02 0.86 0.64 0.86 0.76 0.49 0.03 0.40 0.17 0.47 0.61 0.27 0.97 0.93 0.53 0.44 ]
[0.34 0.97 0.89 0.13 0.66 0.79 1.00 0.81 0.35 0.22 0.27 0.31 0.59 0.50 0.92 0.42 0.04 0.13 0.42 0.58 0.16 0.62 0.69 0.65 0.88 0.65 0.42 0.36 0.49 0.26 0.77 0.40 0.13 0.68 0.33 0.75 0.78 0.26 0.33 0.05 0.29 0.49 0.20 0.45 0.45 0.65 0.23 0.87 0.24 0.33 0.85 0.51 0.37 0.37 0.40 0.86 0.12 0.52 ]
[0.50 0.29 0.53 0.90 0.99 0.94 0.81 1.00 0.81 0.88 0.92 0.50 0.26 0.04 0.61 0.44 0.30 0.84 0.89 0.38 0.00 0.46 0.66 0.28 0.00 0.61 0.75 0.89 0.37 0.77 0.63 0.33 0.09 0.71 0.25 0.78 0.02 0.44 0.75 0.50 0.80 0.62 0.98 0.47 0.74 0.02 0.26 0.70 0.83 0.63 0.66 0.01 0.88 0.45 0.53 0.43 0.88 0.74 ]
[0.34 0.15 0.67 0.38 0.14 0.59 0.35 0.81 1.00 0.40 0.58 0.15 0.85 0.07 0.30 0.16 0.63 0.51 0.81 0.30 0.98 0.53 0.54 0.39 0.70 0.11 0.67 0.19 0.98 0.80 0.36 0.54 0.57 0.27 0.10 0.53 0.56 0.32 0.76 0.64 0.54 0.75 0.44 0.89 0.81 0.87 0.74 0.51 0.68 0.94 0.36 0.20 0.61 0.01 0.76 0.93 0.93 0.73 ]
[0.18 0.07 0.68 0.45 0.79 0.77 0.22 0.88 0.40 1.00 0.84 0.40 0.11 0.88 0.76 0.18 0.27 0.47 0.22 0.26 0.40 0.23 0.13 0.88 0.79 0.92 0.70 0.45 0.69 0.69 0.96 0.38 0.76 0.88 0.21 0.68 0.52 0.28 0.15 0.19 0.43 0.87 0.42 0.36 0.46 0.03 0.45 0.97 0.11 0.82 0.10 0.91 0.25 0.27 0.09 0.95 0.34 0.31 ]
[0.88 0.70 0.87 0.12 0.48 0.98 0.27 0.92 0.58 0.84 1.00 0.78 0.65 0.09 0.74 0.91 0.41 0.24 0.50 0.36 0.03 0.15 0.66 0.56 0.26 0.86 0.26 0.68 0.27 0.06 0.20 0.63 0.07 0.80 0.20 0.39 0.77 0.65 0.18 0.45 0.23 0.08 0.18 0.60 0.57 0.11 0.28 0.84 0.98 0.29 0.72 0.88 0.15 0.36 0.66 0.16 0.09 0.22 ]
[0.75 0.53 0.31 0.75 0.57 0.13 0.31 0.50 0.15 0.40 0.78 1.00 0.04 0.08 0.38 0.25 0.06 0.70 0.35 0.42 0.44 0.67 0.26 0.16 0.13 0.21 0.88 0.35 0.44 0.86 0.85 0.92 0.41 0.11 0.15 0.08 0.90 0.23 0.85 0.39 0.16 0.23 0.04 0.18 0.98 0.12 0.11 0.29 0.35 0.35 0.84 0.22 0.66 0.32 0.42 0.57 0.38 0.19 ]
[0.26 0.17 0.87 0.00 0.40 0.38 0.59 0.26 0.85 0.11 0.65 0.04 1.00 0.40 0.12 0.75 0.41 0.69 0.65 0.55 0.18 0.23 0.57 0.44 0.23 0.84 0.98 0.65 0.71 0.18 0.96 0.06 0.68 0.18 0.30 0.93 0.99 0.90 0.02 0.37 0.70 0.50 0.40 0.64 0.61 0.81 0.61 0.48 0.06 0.90 0.19 0.64 0.07 0.04 0.34 0.87 0.27 0.65 ]
[0.93 0.94 0.01 0.12 0.89 0.46 0.50 0.04 0.07 0.88 0.09 0.08 0.40 1.00 0.86 0.88 0.84 0.26 0.50 0.12 0.54 0.26 0.42 0.01 0.75 0.40 0.24 0.82 0.17 0.10 0.00 0.97 0.07 0.85 0.72 0.94 0.23 0.14 0.55 0.23 0.90 0.74 0.14 0.25 0.39 0.93 0.39 0.31 0.12 0.15 0.14 0.34 0.50 0.42 0.23 0.81 0.65 0.98 ]
