D = 2;
n = [ 4 4 ];
N = 51;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.24 0.02 0.98 0.43 0.00 0.46 0.71 0.62 0.80 0.60 0.87 0.59 1.00 0.43 0.96 0.69 0.20 0.48 0.81 0.33 0.51 0.73 0.42 0.98 0.68 0.21 0.82 0.58 0.43 0.57 0.49 0.43 0.38 0.80 0.53 0.93 0.97 0.22 0.56 0.38 0.14 0.55 0.57 0.85 0.14 0.00 0.62 0.31 0.11 0.87 ]
[0.24 1.00 0.10 0.86 0.45 0.47 0.00 0.94 0.58 0.18 0.53 0.91 0.16 0.17 0.58 0.84 0.00 0.30 0.26 0.64 0.68 0.70 0.49 0.18 0.71 0.90 0.63 0.44 0.93 0.85 0.67 0.43 0.56 0.87 0.90 0.10 0.07 0.07 0.56 0.05 0.79 0.80 0.70 0.88 0.33 0.70 0.21 0.99 0.02 0.75 0.20 ]
[0.02 0.10 1.00 0.72 0.72 0.33 0.41 0.05 0.39 0.63 0.72 0.58 0.19 0.79 0.82 0.97 0.49 0.24 0.70 0.79 0.75 0.61 0.52 0.50 0.52 0.01 0.63 0.14 0.18 0.94 0.68 0.22 0.21 0.73 0.70 0.89 0.76 0.40 0.04 0.22 0.18 0.32 0.13 0.36 0.26 0.21 0.93 0.78 0.89 0.55 0.69 ]
[0.98 0.86 0.72 1.00 0.45 0.57 0.20 0.42 0.90 0.88 0.22 0.67 0.18 0.89 0.62 0.92 0.65 0.78 0.44 0.31 0.23 0.35 0.77 0.31 0.09 0.05 0.42 0.36 0.61 0.62 0.11 0.75 0.13 0.24 0.37 0.01 0.70 0.86 0.45 0.50 0.04 0.46 0.01 0.11 0.15 0.32 0.52 0.79 0.16 0.52 0.82 ]
[0.43 0.45 0.72 0.45 1.00 0.29 0.36 0.39 0.85 0.73 0.22 0.74 0.84 0.03 0.24 0.49 0.49 0.54 0.01 0.39 0.97 0.52 0.75 0.17 0.30 0.40 0.21 0.92 0.95 0.03 0.01 0.09 0.79 0.19 0.86 0.90 0.62 0.65 0.30 0.30 0.75 0.17 0.69 0.18 0.83 0.59 0.69 0.95 0.58 0.71 0.84 ]
[0.00 0.47 0.33 0.57 0.29 1.00 0.01 0.44 0.50 0.81 0.34 0.99 0.39 0.86 0.57 0.84 0.74 0.95 0.18 0.39 0.27 0.55 0.97 0.39 0.02 0.51 0.23 0.41 0.86 0.75 0.76 0.99 0.68 0.27 0.36 0.94 0.14 0.78 0.90 0.17 0.36 0.69 0.46 0.43 0.96 0.76 0.91 0.10 0.03 0.54 0.95 ]
[0.46 0.00 0.41 0.20 0.36 0.01 1.00 0.14 0.52 0.35 0.61 0.69 0.87 0.27 0.46 0.68 0.91 0.81 0.74 0.96 0.78 0.04 0.28 0.88 0.23 0.00 0.07 0.49 0.61 0.97 0.73 0.69 0.44 0.36 0.66 0.49 0.61 0.54 0.31 0.81 0.01 0.10 0.45 0.02 0.61 0.54 0.03 0.93 0.62 0.16 0.59 ]
[0.71 0.94 0.05 0.42 0.39 0.44 0.14 1.00 0.10 0.29 0.33 0.31 0.59 0.34 0.61 0.49 0.16 0.05 0.75 0.23 0.65 0.62 0.66 0.73 0.39 0.81 0.16 0.53 0.76 0.87 0.03 0.65 0.23 0.91 0.83 0.54 0.73 0.38 0.99 0.28 0.35 0.57 0.30 0.60 0.60 0.53 0.38 0.79 0.51 0.67 0.39 ]
[0.62 0.58 0.39 0.90 0.85 0.50 0.52 0.10 1.00 0.01 0.63 0.52 0.96 0.11 0.71 0.40 0.13 0.00 0.10 0.69 0.71 0.90 0.80 0.31 0.84 0.16 0.13 0.27 0.92 0.49 0.69 0.05 0.38 0.41 0.47 0.85 0.64 0.86 0.61 0.12 0.30 0.32 0.89 0.68 0.86 0.20 0.89 0.41 0.81 0.39 0.11 ]
[0.80 0.18 0.63 0.88 0.73 0.81 0.35 0.29 0.01 1.00 0.05 0.84 0.16 0.48 0.71 0.35 0.07 0.34 0.69 0.48 0.75 0.03 0.09 0.10 0.44 0.96 0.22 0.20 0.40 0.38 0.37 0.61 0.78 0.03 0.25 0.99 0.53 0.63 0.16 0.63 0.34 0.42 0.05 0.78 0.51 0.40 0.74 0.19 0.16 0.74 0.91 ]
