D = 2;
n = [ 4 4 ];
N = 14;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.85 0.82 0.54 0.58 0.88 0.96 0.36 0.27 0.99 0.22 0.95 0.91 0.40 ]
[0.85 1.00 0.87 0.37 0.11 0.53 0.32 0.38 0.47 0.79 0.84 0.08 0.13 0.52 ]
[0.82 0.87 1.00 0.33 0.57 0.79 0.94 0.39 0.93 0.65 0.16 0.29 0.74 0.05 ]
[0.54 0.37 0.33 1.00 1.00 0.17 0.59 0.49 0.13 0.85 0.25 0.35 0.07 0.42 ]
[0.58 0.11 0.57 1.00 1.00 0.66 0.21 0.93 0.81 0.66 0.47 0.14 0.68 0.77 ]
[0.88 0.53 0.79 0.17 0.66 1.00 0.24 0.73 0.57 0.07 0.18 0.11 0.16 0.03 ]
[0.96 0.32 0.94 0.59 0.21 0.24 1.00 0.06 0.17 0.11 0.65 0.49 0.66 0.25 ]
[0.36 0.38 0.39 0.49 0.93 0.73 0.06 1.00 0.63 0.74 0.58 0.60 0.84 0.16 ]
[0.27 0.47 0.93 0.13 0.81 0.57 0.17 0.63 1.00 0.07 0.73 0.01 0.84 0.18 ]
[0.99 0.79 0.65 0.85 0.66 0.07 0.11 0.74 0.07 1.00 0.86 1.00 0.68 0.28 ]
[0.22 0.84 0.16 0.25 0.47 0.18 0.65 0.58 0.73 0.86 1.00 0.40 0.25 0.22 ]
[0.95 0.08 0.29 0.35 0.14 0.11 0.49 0.60 0.01 1.00 0.40 1.00 0.69 0.50 ]
[0.91 0.13 0.74 0.07 0.68 0.16 0.66 0.84 0.84 0.68 0.25 0.69 1.00 0.31 ]
[0.40 0.52 0.05 0.42 0.77 0.03 0.25 0.16 0.18 0.28 0.22 0.50 0.31 1.00 ]
];
