D = 8;
n = [ 5 5 5 5 5 5 5 5 ];
N = 55;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.57 0.53 0.57 0.77 0.04 0.53 0.23 0.53 0.76 0.23 0.65 0.80 0.21 0.87 0.78 0.83 0.86 0.59 0.72 0.94 0.06 0.48 0.19 0.74 0.70 0.12 0.46 0.35 0.48 0.35 0.51 0.39 0.47 0.47 0.16 0.88 0.64 0.65 0.77 0.82 0.75 0.90 0.50 0.30 0.56 0.79 0.43 0.33 0.83 0.77 0.44 0.42 0.10 0.78 ]
[0.57 1.00 0.13 0.36 0.50 0.19 0.71 0.96 0.47 0.81 0.06 0.98 0.91 0.06 0.14 0.98 0.55 0.19 0.65 0.27 0.54 0.26 0.97 0.54 0.42 0.99 0.13 0.20 0.37 0.43 0.39 0.38 0.94 0.69 0.22 0.20 0.62 0.75 0.97 0.57 0.80 0.04 0.39 0.85 0.26 0.07 0.72 0.80 0.59 0.04 0.49 0.81 0.83 0.00 0.33 ]
[0.53 0.13 1.00 0.20 0.86 0.72 0.67 0.92 0.54 0.29 0.78 0.14 0.77 0.79 0.49 0.51 0.06 0.93 0.15 0.48 0.98 0.07 0.85 0.91 0.78 0.64 0.87 0.30 0.40 0.72 0.24 0.61 0.98 0.58 0.37 0.21 0.73 0.74 0.11 0.84 0.01 0.10 0.93 0.82 0.85 0.18 0.28 0.06 0.49 0.88 0.75 0.11 0.22 0.42 0.26 ]
[0.57 0.36 0.20 1.00 0.44 0.61 0.20 0.59 0.81 0.45 0.31 1.00 0.91 0.78 0.27 0.68 0.29 0.09 0.88 0.79 0.86 0.83 0.52 0.76 0.12 0.68 0.34 0.83 0.45 0.18 0.63 0.17 0.58 0.37 0.97 0.43 0.29 0.48 0.49 0.41 0.19 0.42 0.59 0.62 0.53 0.52 0.65 0.18 0.52 0.90 0.61 0.78 0.15 0.07 0.99 ]
[0.77 0.50 0.86 0.44 1.00 0.61 0.86 0.27 0.87 0.84 0.59 0.06 0.31 0.87 0.56 0.60 0.17 0.38 0.36 0.53 0.32 0.51 0.41 0.58 0.81 0.82 0.13 0.98 0.59 0.16 0.06 0.50 0.52 0.19 0.18 0.88 0.86 0.07 0.05 0.66 0.41 0.08 0.87 0.91 0.07 0.06 0.21 0.49 0.58 0.60 0.83 0.79 0.06 0.28 0.71 ]
[0.04 0.19 0.72 0.61 0.61 1.00 0.57 0.26 0.20 0.14 0.78 0.85 0.35 0.16 0.62 0.83 0.92 0.78 0.56 0.94 0.55 0.19 0.24 0.30 0.66 0.29 0.62 0.28 0.85 0.61 0.91 0.89 0.82 0.09 0.23 0.81 0.30 0.59 0.30 0.94 0.71 0.28 0.62 0.05 0.93 0.80 0.76 0.26 0.71 0.62 0.15 0.83 0.09 0.75 0.25 ]
[0.53 0.71 0.67 0.20 0.86 0.57 1.00 0.71 0.80 0.33 0.22 0.96 0.06 0.87 0.32 0.76 0.37 0.72 0.02 0.25 0.73 0.10 0.41 0.95 0.12 0.41 0.68 0.24 0.86 0.19 0.84 0.79 0.98 0.01 0.02 0.60 0.40 0.41 0.54 0.67 0.19 0.50 0.68 0.91 0.20 0.54 0.16 0.02 0.54 0.24 0.78 0.84 0.78 0.75 0.63 ]
[0.23 0.96 0.92 0.59 0.27 0.26 0.71 1.00 0.35 0.23 0.75 0.55 0.09 0.73 0.06 0.12 0.04 0.19 0.62 0.54 0.34 0.27 0.98 0.50 0.52 0.55 0.86 0.70 0.48 0.22 0.68 0.36 0.98 0.08 0.43 0.51 0.23 0.37 0.40 0.65 0.47 0.28 0.88 0.15 0.44 0.33 0.35 0.29 0.40 0.83 0.07 0.64 0.76 0.55 0.92 ]
[0.53 0.47 0.54 0.81 0.87 0.20 0.80 0.35 1.00 0.90 0.12 0.50 0.65 0.52 0.23 0.26 0.49 0.56 0.87 0.95 0.46 0.45 0.23 0.17 0.15 0.53 0.26 0.89 0.69 0.50 0.74 0.27 0.46 0.89 0.96 0.31 0.79 0.12 0.75 0.80 0.46 0.08 0.41 0.32 0.01 0.05 0.69 0.32 0.92 0.78 0.65 0.48 0.94 0.82 0.66 ]
[0.76 0.81 0.29 0.45 0.84 0.14 0.33 0.23 0.90 1.00 0.28 0.47 0.24 0.95 0.06 0.73 0.15 0.90 0.22 0.78 0.10 0.37 0.40 0.21 0.42 0.25 0.75 0.91 0.16 0.71 0.62 0.47 0.26 0.93 0.63 0.05 0.93 0.79 0.75 0.86 0.08 0.62 1.00 0.96 0.92 0.60 0.93 0.26 0.44 0.56 0.92 0.13 0.63 0.11 0.27 ]
[0.23 0.06 0.78 0.31 0.59 0.78 0.22 0.75 0.12 0.28 1.00 0.55 0.91 0.82 0.40 0.14 0.78 0.70 0.27 0.48 0.06 0.68 0.28 0.22 0.72 0.25 0.41 1.00 0.20 0.66 0.47 0.31 0.02 0.38 0.70 0.62 0.47 0.28 0.03 0.05 0.14 0.29 0.96 0.77 0.18 0.49 0.06 0.60 0.25 0.26 0.48 0.53 0.87 0.60 0.77 ]
[0.65 0.98 0.14 1.00 0.06 0.85 0.96 0.55 0.50 0.47 0.55 1.00 0.98 0.30 0.54 0.18 0.85 0.31 0.64 0.15 0.73 0.91 0.54 0.35 0.62 0.57 0.82 0.35 0.96 0.17 0.11 0.54 0.30 0.23 0.82 0.24 0.53 0.15 0.40 0.23 0.98 0.24 0.06 0.81 0.77 0.43 0.00 0.75 0.79 0.65 0.35 0.44 0.69 0.96 0.11 ]
[0.80 0.91 0.77 0.91 0.31 0.35 0.06 0.09 0.65 0.24 0.91 0.98 1.00 0.71 0.51 0.00 0.97 0.35 0.66 0.88 0.14 0.83 0.19 0.03 0.80 0.88 0.09 0.94 0.60 0.41 0.31 0.19 0.66 0.51 0.53 0.60 0.68 0.33 0.89 0.61 0.62 0.61 0.37 0.29 0.08 0.26 0.50 0.86 0.11 0.15 0.26 0.73 0.82 0.48 0.00 ]
[0.21 0.06 0.79 0.78 0.87 0.16 0.87 0.73 0.52 0.95 0.82 0.30 0.71 1.00 0.05 0.32 0.60 0.92 0.21 0.45 0.04 0.82 0.56 0.57 0.14 0.17 0.37 0.33 0.26 0.89 0.17 0.29 0.96 0.84 0.01 0.03 0.21 0.98 0.26 0.75 0.52 0.28 0.15 0.02 0.22 0.95 0.27 0.91 0.35 0.04 0.79 0.14 0.91 0.64 0.14 ]
[0.87 0.14 0.49 0.27 0.56 0.62 0.32 0.06 0.23 0.06 0.40 0.54 0.51 0.05 1.00 0.78 0.03 0.82 0.81 0.62 0.95 0.73 0.12 0.06 0.21 0.74 0.99 0.91 0.73 0.81 0.22 0.62 0.71 0.66 0.87 0.52 0.67 0.36 0.96 0.73 0.85 0.31 0.64 0.62 0.81 0.72 0.54 0.96 0.12 0.91 0.75 0.86 0.60 0.03 0.01 ]
