D = 4;
n = [ 3 3 3 3 ];
N = 56;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.09 0.53 0.67 0.33 0.03 0.90 0.16 0.93 0.20 0.46 0.62 0.93 0.78 0.90 0.56 0.47 0.67 0.04 0.84 0.01 0.02 0.79 0.90 0.60 0.26 0.48 0.64 0.87 0.10 0.20 0.52 0.65 0.14 0.21 0.77 0.49 0.52 0.98 0.80 0.67 0.36 0.88 0.70 0.64 0.94 0.26 0.82 0.08 0.78 0.16 0.55 0.45 0.70 0.35 0.09 ]
[0.09 1.00 0.55 0.30 0.88 0.16 0.02 0.39 0.07 0.96 0.94 0.48 0.83 0.92 0.83 0.22 0.07 0.83 0.87 0.85 0.30 0.06 0.43 0.19 0.21 0.85 0.88 0.56 0.95 0.31 0.86 0.97 0.47 0.10 0.22 0.40 0.15 0.58 0.10 0.49 0.94 0.42 0.38 0.16 0.75 0.63 0.43 0.21 0.83 0.15 0.77 0.09 0.38 0.70 0.01 0.53 ]
[0.53 0.55 1.00 0.81 0.29 0.17 0.24 0.10 0.89 0.99 0.04 0.74 0.37 0.50 1.00 0.77 0.22 0.08 0.73 0.64 0.11 0.50 0.55 0.49 0.54 0.24 0.78 0.43 0.76 0.81 0.60 0.87 0.99 0.69 0.54 0.26 0.78 0.32 0.97 0.08 0.43 0.27 0.34 0.96 0.65 0.20 0.49 0.04 0.22 0.43 0.09 0.73 0.78 0.06 0.22 0.00 ]
[0.67 0.30 0.81 1.00 0.88 0.32 0.11 0.70 0.04 0.18 0.42 0.83 0.81 0.01 0.02 0.81 0.02 0.13 0.12 0.06 0.42 0.28 0.83 0.28 0.38 0.12 0.80 0.77 0.07 0.17 0.65 0.69 0.91 0.83 0.00 0.37 0.86 0.96 0.04 0.00 0.92 0.41 0.59 0.81 0.42 0.69 0.42 0.49 0.88 0.75 0.41 0.25 0.24 0.88 0.79 0.23 ]
[0.33 0.88 0.29 0.88 1.00 0.86 0.71 0.83 0.89 0.33 0.00 0.16 0.78 0.55 0.34 0.85 0.69 0.97 0.93 0.88 0.55 0.39 0.70 0.64 0.69 0.60 0.08 0.37 0.12 0.75 0.40 0.58 0.57 0.81 0.13 0.36 1.00 0.21 0.88 0.04 0.99 0.53 0.79 0.47 0.27 0.53 0.22 0.28 0.58 0.57 0.18 0.44 0.78 0.88 0.71 0.24 ]
[0.03 0.16 0.17 0.32 0.86 1.00 0.73 0.17 0.90 0.61 0.06 0.19 0.35 0.60 0.10 0.17 0.12 0.45 0.75 0.71 0.82 0.64 0.25 0.08 0.89 0.73 0.95 0.55 0.32 0.39 0.60 0.17 0.28 0.43 0.20 0.61 0.94 0.43 0.43 0.96 0.12 0.42 0.85 0.44 0.25 0.25 0.72 0.81 0.34 0.35 0.81 0.89 0.04 0.73 0.82 0.23 ]
[0.90 0.02 0.24 0.11 0.71 0.73 1.00 0.22 0.21 0.91 0.32 0.53 0.40 0.59 0.09 0.12 0.44 0.73 0.25 0.42 0.17 0.14 0.34 0.10 0.12 0.93 0.90 0.81 0.80 0.58 0.16 0.67 0.89 0.48 0.69 0.15 0.63 0.68 0.38 0.70 0.44 0.09 0.43 0.59 0.27 0.69 0.90 0.67 0.83 0.76 0.36 0.21 0.89 0.41 0.03 0.55 ]
[0.16 0.39 0.10 0.70 0.83 0.17 0.22 1.00 0.77 0.85 0.01 0.28 0.05 0.67 0.82 0.06 0.92 0.73 0.10 0.87 0.15 0.80 0.12 0.65 0.98 0.25 0.64 0.48 0.83 0.55 0.64 0.25 0.84 0.94 0.43 0.38 0.24 0.75 0.24 0.63 0.74 0.37 0.73 0.93 0.89 0.53 0.68 0.97 0.00 0.85 0.97 0.57 0.42 0.27 0.22 0.78 ]
[0.93 0.07 0.89 0.04 0.89 0.90 0.21 0.77 1.00 0.31 0.92 0.97 0.06 0.33 0.45 0.77 0.59 0.46 0.29 0.43 0.22 0.38 0.69 0.62 0.58 0.18 0.06 0.83 0.61 0.59 0.83 0.73 0.36 0.49 0.23 0.48 0.07 0.68 0.46 0.76 0.86 0.77 0.12 0.76 0.70 0.73 0.59 0.84 0.09 0.47 0.87 0.41 0.20 0.12 0.93 0.86 ]
[0.20 0.96 0.99 0.18 0.33 0.61 0.91 0.85 0.31 1.00 0.56 0.73 0.68 0.98 0.74 0.50 0.64 0.19 0.98 0.68 0.96 0.02 0.39 0.17 0.95 0.55 0.14 0.89 0.98 0.84 0.70 0.97 0.42 0.70 0.23 0.86 0.64 0.71 0.47 0.22 0.76 0.17 0.70 0.96 0.71 0.79 0.06 0.09 0.42 0.26 0.30 0.43 0.26 0.59 0.49 0.94 ]
