D = 6;
n = [ 3 3 3 3 3 3 ];
N = 19;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 6 ];
m = [
[1.00 0.62 0.39 0.70 0.33 0.71 0.83 0.57 0.15 0.04 0.51 0.81 0.97 0.44 0.80 0.19 0.88 0.24 0.72 ]
[0.62 1.00 0.42 0.86 0.52 0.21 0.57 0.57 0.25 0.20 0.43 0.71 0.70 0.80 0.24 0.18 0.37 0.64 0.53 ]
[0.39 0.42 1.00 0.00 0.76 0.17 0.82 0.14 0.91 0.21 0.97 0.89 0.63 0.81 0.58 0.83 0.60 0.44 0.84 ]
[0.70 0.86 0.00 1.00 0.63 0.80 0.43 0.77 0.15 0.07 0.61 0.58 0.84 0.97 0.86 0.09 0.86 0.87 0.21 ]
[0.33 0.52 0.76 0.63 1.00 0.50 0.01 0.38 0.78 0.43 0.45 0.83 0.60 0.50 0.59 0.97 0.13 0.83 0.49 ]
[0.71 0.21 0.17 0.80 0.50 1.00 0.60 0.61 0.14 0.46 0.09 0.38 0.57 0.48 0.68 0.42 0.36 0.64 0.42 ]
[0.83 0.57 0.82 0.43 0.01 0.60 1.00 0.01 0.37 0.81 0.81 0.39 0.88 0.43 0.74 0.53 0.27 0.08 0.37 ]
[0.57 0.57 0.14 0.77 0.38 0.61 0.01 1.00 0.99 0.81 0.55 0.47 0.59 0.08 0.14 0.81 0.10 0.05 0.46 ]
[0.15 0.25 0.91 0.15 0.78 0.14 0.37 0.99 1.00 0.99 0.66 0.89 0.37 0.85 0.33 0.85 0.73 0.59 0.05 ]
[0.04 0.20 0.21 0.07 0.43 0.46 0.81 0.81 0.99 1.00 1.00 0.70 0.07 0.66 0.50 0.17 0.13 0.96 0.89 ]
[0.51 0.43 0.97 0.61 0.45 0.09 0.81 0.55 0.66 1.00 1.00 0.91 0.33 0.83 0.38 0.47 0.78 0.52 0.20 ]
[0.81 0.71 0.89 0.58 0.83 0.38 0.39 0.47 0.89 0.70 0.91 1.00 0.38 0.88 0.08 0.10 0.80 0.81 0.16 ]
[0.97 0.70 0.63 0.84 0.60 0.57 0.88 0.59 0.37 0.07 0.33 0.38 1.00 0.14 0.37 0.59 0.81 0.07 0.18 ]
[0.44 0.80 0.81 0.97 0.50 0.48 0.43 0.08 0.85 0.66 0.83 0.88 0.14 1.00 0.61 0.81 0.07 0.22 0.59 ]
[0.80 0.24 0.58 0.86 0.59 0.68 0.74 0.14 0.33 0.50 0.38 0.08 0.37 0.61 1.00 0.04 0.23 0.05 0.25 ]
[0.19 0.18 0.83 0.09 0.97 0.42 0.53 0.81 0.85 0.17 0.47 0.10 0.59 0.81 0.04 1.00 0.89 0.24 0.58 ]
[0.88 0.37 0.60 0.86 0.13 0.36 0.27 0.10 0.73 0.13 0.78 0.80 0.81 0.07 0.23 0.89 1.00 0.05 0.47 ]
[0.24 0.64 0.44 0.87 0.83 0.64 0.08 0.05 0.59 0.96 0.52 0.81 0.07 0.22 0.05 0.24 0.05 1.00 0.80 ]
[0.72 0.53 0.84 0.21 0.49 0.42 0.37 0.46 0.05 0.89 0.20 0.16 0.18 0.59 0.25 0.58 0.47 0.80 1.00 ]
];
