D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 62;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.71 0.20 0.79 0.40 0.64 0.96 0.43 0.40 0.61 0.25 0.96 0.70 0.57 0.84 0.08 0.28 0.19 0.17 0.76 0.42 0.84 0.84 0.87 0.55 0.99 0.38 0.50 0.58 0.56 0.85 0.32 0.62 0.17 0.37 0.28 0.15 0.32 0.17 0.51 0.73 0.90 0.69 0.65 0.92 0.34 0.81 0.78 0.06 0.04 0.80 0.53 0.77 0.19 0.93 0.31 0.49 0.36 0.98 0.09 0.80 0.39 ]
[0.71 1.00 0.66 0.83 0.46 0.52 0.81 0.48 0.34 0.03 0.61 0.27 0.72 0.38 0.77 0.61 0.24 0.66 0.48 0.43 0.23 0.74 0.41 0.66 0.96 0.85 0.61 0.48 0.73 0.76 0.32 0.28 0.31 0.72 0.59 0.48 0.12 0.60 0.39 0.00 0.48 0.01 0.61 0.96 0.13 0.28 0.80 0.78 0.75 0.24 0.58 0.21 0.97 0.42 0.86 0.69 0.83 0.41 0.16 0.54 0.57 0.08 ]
[0.20 0.66 1.00 0.06 0.74 0.90 0.25 0.63 0.87 0.59 0.49 0.57 0.64 0.08 0.96 0.75 0.75 0.08 0.98 0.13 0.74 0.24 0.57 0.71 0.56 0.35 0.33 0.30 0.14 0.94 0.75 0.90 0.85 0.71 0.97 0.20 0.86 0.20 0.05 0.59 0.21 0.33 0.00 0.06 0.04 0.70 0.37 0.30 0.50 0.22 0.89 0.11 0.89 0.54 0.30 0.79 0.50 0.68 0.78 0.13 0.02 0.11 ]
[0.79 0.83 0.06 1.00 0.22 0.42 0.27 0.04 0.33 0.04 0.01 0.06 0.24 0.78 0.45 0.17 0.13 0.07 0.29 0.71 0.44 0.08 0.71 0.10 0.64 0.24 0.47 0.53 0.48 0.06 0.94 0.49 0.15 0.60 0.59 0.86 0.27 0.18 0.32 0.86 0.57 0.75 0.07 0.70 0.25 0.71 0.93 0.07 0.19 0.64 0.98 0.46 0.61 0.66 0.71 0.52 0.09 0.41 0.77 0.84 0.49 0.19 ]
[0.40 0.46 0.74 0.22 1.00 0.80 0.74 0.84 0.21 0.40 0.90 0.24 0.22 0.21 0.83 0.04 0.16 0.14 0.51 0.23 0.82 0.37 0.83 0.82 0.59 0.57 0.30 0.61 1.00 0.15 0.64 0.17 0.09 0.63 0.45 0.33 0.26 0.59 0.64 0.10 0.48 0.51 0.82 0.52 0.58 0.51 0.97 0.55 0.67 0.34 0.23 0.38 0.39 0.91 0.27 0.07 0.02 0.60 0.81 0.70 0.38 0.62 ]
[0.64 0.52 0.90 0.42 0.80 1.00 0.80 0.18 0.56 0.14 0.01 0.16 0.93 0.40 0.14 0.37 0.03 0.85 0.30 0.38 0.76 0.33 0.02 0.14 0.09 0.24 0.52 0.17 0.54 0.80 0.20 0.73 0.31 0.20 0.95 0.41 0.63 0.05 0.69 0.03 0.14 0.07 0.54 0.82 0.28 0.28 0.00 0.81 0.47 0.23 0.86 0.06 0.20 0.24 0.01 0.10 0.87 0.06 0.05 0.52 0.23 0.22 ]
[0.96 0.81 0.25 0.27 0.74 0.80 1.00 0.70 0.01 0.57 0.25 0.34 0.88 0.04 0.42 0.40 0.16 0.05 0.19 0.29 0.81 0.58 0.27 0.02 0.75 0.15 0.29 0.70 0.25 0.19 0.04 0.49 0.70 0.60 0.47 0.39 0.07 0.67 0.92 0.32 0.89 0.73 0.21 0.09 0.20 0.57 0.53 0.53 0.28 0.30 0.56 0.50 0.64 0.98 0.85 0.73 0.45 0.39 0.74 0.13 0.76 0.50 ]
[0.43 0.48 0.63 0.04 0.84 0.18 0.70 1.00 0.58 0.51 0.50 0.19 0.64 0.94 0.73 0.12 0.10 0.34 0.30 0.34 0.05 0.37 0.76 0.95 0.67 0.66 0.62 0.14 0.32 0.66 0.40 0.15 0.91 0.57 0.80 0.72 0.92 0.12 0.51 0.92 0.12 0.01 0.50 0.56 0.28 0.38 0.21 0.10 0.44 0.67 0.92 0.15 0.71 0.24 0.81 0.34 0.15 0.73 0.82 0.49 0.30 0.36 ]
[0.40 0.34 0.87 0.33 0.21 0.56 0.01 0.58 1.00 0.50 0.42 0.80 0.93 0.89 0.24 0.14 0.12 0.20 0.15 0.32 0.17 0.19 0.56 0.67 0.56 0.10 0.50 0.79 0.96 0.23 0.93 0.26 0.53 0.84 0.48 0.78 0.64 0.32 0.65 0.71 0.33 0.72 0.62 0.27 0.98 0.54 0.30 0.15 0.34 0.74 0.43 0.01 0.71 0.98 0.10 0.35 0.70 0.20 0.47 0.63 0.59 0.36 ]
[0.61 0.03 0.59 0.04 0.40 0.14 0.57 0.51 0.50 1.00 0.52 0.29 0.98 0.01 0.87 0.85 0.12 0.59 0.99 0.11 0.32 0.12 0.20 0.44 0.08 0.96 0.55 0.20 0.19 0.20 0.19 0.87 0.04 0.26 0.46 0.35 0.52 0.49 0.54 0.01 0.90 0.36 0.14 0.78 0.78 0.40 0.25 0.31 0.69 0.49 0.51 0.27 0.33 0.35 0.95 0.02 0.97 0.28 0.25 0.48 0.65 0.77 ]
