D = 2;
n = [ 3 3 ];
N = 63;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.44 0.47 0.72 0.26 0.69 0.14 0.97 0.87 0.77 0.37 0.58 0.50 0.33 0.12 0.20 0.78 0.62 0.58 0.18 0.50 0.39 0.33 0.20 0.17 0.25 0.61 0.08 0.25 0.98 0.20 0.81 0.64 0.39 0.08 0.91 0.82 0.65 0.37 0.68 0.18 0.17 0.75 0.06 0.93 0.89 0.07 0.18 0.27 0.90 0.79 0.44 0.41 0.65 0.68 0.54 0.12 0.31 0.95 0.33 0.56 0.02 0.03 ]
[0.44 1.00 0.41 0.69 0.99 0.04 0.54 0.88 0.58 0.17 0.95 0.07 0.64 0.17 0.09 0.23 0.53 0.83 0.79 0.98 0.31 0.26 0.99 0.51 0.42 0.01 0.56 0.33 0.77 0.92 0.30 0.78 0.98 0.62 0.59 0.36 0.87 0.05 0.22 0.93 0.86 0.63 0.06 0.66 0.45 0.48 0.44 0.82 0.51 0.11 0.73 0.94 0.09 0.75 0.75 0.47 0.21 0.30 0.33 0.51 0.16 0.06 0.03 ]
[0.47 0.41 1.00 0.00 0.33 0.83 0.73 0.40 0.93 0.63 0.89 0.89 0.46 0.04 0.95 0.61 0.88 0.06 0.57 0.06 0.44 0.48 0.51 0.68 0.75 0.99 0.61 0.58 0.92 0.19 0.62 0.14 0.61 0.29 0.88 0.73 0.89 0.53 0.16 0.34 0.76 0.33 0.74 0.81 0.98 0.43 0.77 0.55 0.38 0.38 0.07 0.46 0.66 0.15 0.05 0.44 0.14 0.61 0.01 0.29 0.56 0.51 0.23 ]
[0.72 0.69 0.00 1.00 0.12 1.00 0.99 0.82 0.90 0.61 0.95 0.35 0.93 0.99 0.89 0.71 0.47 0.62 0.50 0.68 0.36 0.62 0.53 0.27 0.93 0.31 0.64 0.97 0.71 0.13 0.25 0.96 0.17 0.65 0.28 0.24 0.76 0.27 0.19 0.93 0.78 0.37 0.44 0.30 0.96 0.14 0.55 0.66 0.42 0.65 0.02 0.64 0.49 0.55 0.15 0.54 0.22 0.01 0.95 0.25 0.32 0.70 0.89 ]
[0.26 0.99 0.33 0.12 1.00 0.14 0.12 0.26 0.96 0.25 0.92 0.37 0.34 0.33 0.45 0.61 0.46 0.75 0.33 0.82 0.18 0.29 0.51 0.33 0.98 0.43 0.43 0.35 0.57 0.30 0.38 0.40 0.61 0.74 0.00 0.33 0.93 0.17 0.55 0.66 0.30 0.37 0.54 0.70 0.16 0.28 0.69 0.44 0.75 0.30 0.96 0.46 0.76 0.30 0.36 0.13 0.36 0.21 0.95 0.90 0.33 0.69 0.21 ]
[0.69 0.04 0.83 1.00 0.14 1.00 0.60 0.33 0.42 0.84 0.97 0.42 0.91 0.04 0.44 0.95 0.22 0.27 0.80 0.46 0.69 0.43 0.77 0.34 0.61 0.63 0.50 0.47 0.25 0.29 0.82 0.08 0.05 0.74 0.02 0.11 0.85 0.50 0.54 0.27 0.30 0.56 0.02 0.51 0.28 0.37 0.23 0.96 0.79 0.12 0.98 0.15 0.50 0.01 0.01 0.51 0.65 0.24 0.88 0.65 0.70 0.42 0.12 ]
[0.14 0.54 0.73 0.99 0.12 0.60 1.00 0.57 0.38 0.35 0.81 0.44 0.43 0.18 0.05 0.88 0.45 0.07 0.51 0.87 0.32 0.98 0.63 0.92 0.89 0.75 0.77 0.03 0.30 0.77 0.57 0.19 0.16 0.76 0.08 0.26 0.53 0.57 0.14 0.77 0.97 0.78 0.91 0.96 0.19 0.05 0.21 0.42 0.06 0.24 0.70 0.43 0.61 0.58 0.72 0.18 0.56 0.76 0.88 0.64 0.91 0.27 0.81 ]
[0.97 0.88 0.40 0.82 0.26 0.33 0.57 1.00 0.01 0.30 0.54 0.16 0.96 0.19 0.67 0.24 0.86 0.69 0.68 0.52 0.61 0.57 0.85 0.13 0.66 0.72 0.61 0.28 0.61 0.68 0.74 0.00 0.77 0.85 0.19 0.13 0.61 0.74 0.30 0.45 0.05 0.61 0.09 0.77 0.98 0.33 0.97 0.30 0.73 0.65 0.83 0.41 0.86 0.06 0.66 0.86 0.40 0.56 0.43 0.07 0.37 0.34 0.27 ]
[0.87 0.58 0.93 0.90 0.96 0.42 0.38 0.01 1.00 0.51 0.31 0.03 0.46 0.39 0.05 0.84 0.33 0.28 0.62 0.93 0.41 0.15 0.02 0.14 0.85 0.36 0.28 0.67 0.70 0.82 0.65 0.56 0.53 0.45 0.29 0.59 0.15 0.98 0.69 0.06 0.16 0.55 0.01 0.01 0.40 0.05 0.84 0.20 0.56 0.83 0.17 0.09 0.96 0.78 0.34 0.56 0.04 0.77 0.47 0.40 0.40 0.80 0.69 ]
[0.77 0.17 0.63 0.61 0.25 0.84 0.35 0.30 0.51 1.00 0.65 0.90 0.68 0.19 0.46 0.91 0.79 0.23 0.49 0.92 0.07 0.89 0.27 0.92 0.62 0.00 0.95 0.26 0.35 0.73 0.44 0.95 0.07 0.57 0.88 0.11 0.63 0.92 0.57 0.85 0.49 0.52 0.59 0.95 0.34 0.75 0.11 0.87 0.45 0.43 0.28 0.25 0.03 0.75 0.18 0.95 0.94 0.06 0.47 0.86 0.04 0.38 0.60 ]
