D = 2;
n = [ 3 3 ];
N = 21;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.04 0.49 0.79 0.11 0.93 0.38 0.05 0.41 0.13 0.55 0.34 0.85 0.11 0.55 0.14 0.84 0.23 0.44 0.72 0.29 ]
[0.04 1.00 0.87 0.22 0.77 0.03 0.65 0.93 0.95 0.32 0.12 0.12 0.71 0.85 0.99 0.03 0.81 0.13 0.41 0.87 0.04 ]
[0.49 0.87 1.00 0.62 0.93 0.87 0.19 0.56 0.01 0.46 0.59 0.08 0.07 0.32 0.66 0.10 0.46 0.97 0.32 0.54 0.49 ]
[0.79 0.22 0.62 1.00 0.13 0.18 0.83 0.80 0.63 0.48 0.07 0.19 0.96 0.59 0.88 0.46 0.03 0.95 0.25 0.29 0.29 ]
[0.11 0.77 0.93 0.13 1.00 0.76 0.28 0.76 0.37 0.99 0.79 0.69 0.47 0.82 0.95 0.68 0.64 0.00 0.88 0.57 0.04 ]
[0.93 0.03 0.87 0.18 0.76 1.00 0.65 0.77 0.10 0.65 0.82 0.78 0.61 0.37 0.28 0.82 0.09 0.67 0.06 0.63 0.76 ]
[0.38 0.65 0.19 0.83 0.28 0.65 1.00 0.39 0.51 0.28 0.10 0.03 0.04 0.41 0.19 0.35 0.86 0.58 0.69 0.84 0.03 ]
[0.05 0.93 0.56 0.80 0.76 0.77 0.39 1.00 0.43 0.82 0.30 0.05 0.91 0.73 0.16 0.39 0.78 0.85 0.16 0.28 0.95 ]
[0.41 0.95 0.01 0.63 0.37 0.10 0.51 0.43 1.00 0.97 0.30 0.79 0.49 0.37 0.46 0.43 0.27 0.98 0.80 0.07 0.44 ]
[0.13 0.32 0.46 0.48 0.99 0.65 0.28 0.82 0.97 1.00 0.20 0.45 0.53 0.34 0.92 0.38 0.83 0.50 0.05 0.11 0.39 ]
[0.55 0.12 0.59 0.07 0.79 0.82 0.10 0.30 0.30 0.20 1.00 0.97 0.72 0.77 0.30 0.30 0.37 0.14 0.45 0.50 0.84 ]
[0.34 0.12 0.08 0.19 0.69 0.78 0.03 0.05 0.79 0.45 0.97 1.00 0.96 0.03 0.16 0.98 0.34 0.64 0.60 0.32 0.93 ]
[0.85 0.71 0.07 0.96 0.47 0.61 0.04 0.91 0.49 0.53 0.72 0.96 1.00 0.66 0.50 0.83 0.10 0.93 0.41 0.60 0.64 ]
[0.11 0.85 0.32 0.59 0.82 0.37 0.41 0.73 0.37 0.34 0.77 0.03 0.66 1.00 0.77 0.26 0.35 0.66 0.50 0.67 0.19 ]
[0.55 0.99 0.66 0.88 0.95 0.28 0.19 0.16 0.46 0.92 0.30 0.16 0.50 0.77 1.00 0.91 0.73 0.07 0.68 0.83 0.72 ]
[0.14 0.03 0.10 0.46 0.68 0.82 0.35 0.39 0.43 0.38 0.30 0.98 0.83 0.26 0.91 1.00 0.24 0.90 0.42 0.28 0.21 ]
[0.84 0.81 0.46 0.03 0.64 0.09 0.86 0.78 0.27 0.83 0.37 0.34 0.10 0.35 0.73 0.24 1.00 0.83 0.83 0.83 0.47 ]
[0.23 0.13 0.97 0.95 0.00 0.67 0.58 0.85 0.98 0.50 0.14 0.64 0.93 0.66 0.07 0.90 0.83 1.00 0.55 0.43 0.43 ]
[0.44 0.41 0.32 0.25 0.88 0.06 0.69 0.16 0.80 0.05 0.45 0.60 0.41 0.50 0.68 0.42 0.83 0.55 1.00 0.68 0.63 ]
[0.72 0.87 0.54 0.29 0.57 0.63 0.84 0.28 0.07 0.11 0.50 0.32 0.60 0.67 0.83 0.28 0.83 0.43 0.68 1.00 0.88 ]
[0.29 0.04 0.49 0.29 0.04 0.76 0.03 0.95 0.44 0.39 0.84 0.93 0.64 0.19 0.72 0.21 0.47 0.43 0.63 0.88 1.00 ]
];
