D = 2;
n = [ 2 2 ];
N = 28;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.80 0.86 0.10 0.18 0.71 0.89 0.60 0.93 0.18 0.84 0.28 0.62 0.35 0.98 0.44 0.24 0.48 0.92 0.86 0.22 0.24 0.92 0.90 0.39 0.40 0.63 0.12 ]
[0.80 1.00 0.95 0.04 0.35 0.85 0.09 0.34 0.45 0.94 0.97 0.42 0.36 0.41 0.81 0.92 0.45 0.87 1.00 0.29 0.89 0.75 0.36 0.99 0.11 0.45 0.16 0.98 ]
[0.86 0.95 1.00 0.83 0.90 0.33 0.20 0.47 0.43 0.96 0.56 0.92 0.75 0.71 0.25 0.10 0.50 0.52 0.86 0.77 0.03 0.53 0.58 0.14 0.62 0.77 0.60 0.15 ]
[0.10 0.04 0.83 1.00 0.99 0.82 0.02 0.91 0.37 0.23 0.83 0.93 0.12 0.17 0.09 0.65 0.13 0.58 0.28 0.33 0.41 0.10 0.59 0.60 0.20 0.71 0.97 0.99 ]
[0.18 0.35 0.90 0.99 1.00 0.64 0.65 0.24 0.82 0.97 0.67 0.41 0.96 0.73 0.30 0.46 0.70 0.46 0.27 0.70 0.73 0.09 0.57 0.58 0.30 0.14 0.19 0.19 ]
[0.71 0.85 0.33 0.82 0.64 1.00 0.38 0.02 0.14 0.05 0.08 0.85 0.09 0.37 0.89 0.90 0.12 0.26 0.12 0.89 0.26 0.83 0.86 0.64 0.78 0.82 0.76 0.35 ]
[0.89 0.09 0.20 0.02 0.65 0.38 1.00 0.56 0.16 0.94 0.21 0.98 0.68 0.37 0.55 0.50 0.45 0.47 0.93 0.25 0.05 0.87 0.19 0.11 0.72 0.69 0.29 0.59 ]
[0.60 0.34 0.47 0.91 0.24 0.02 0.56 1.00 0.94 0.47 0.97 0.32 0.33 0.56 0.53 0.58 0.95 0.22 0.09 0.08 0.28 0.61 0.73 0.08 0.10 0.70 0.25 0.12 ]
[0.93 0.45 0.43 0.37 0.82 0.14 0.16 0.94 1.00 0.87 0.70 0.57 0.04 0.64 0.94 0.34 0.02 0.16 0.49 0.50 0.80 0.98 0.27 0.83 0.25 0.86 0.33 0.46 ]
[0.18 0.94 0.96 0.23 0.97 0.05 0.94 0.47 0.87 1.00 0.76 0.47 0.93 0.53 0.08 0.59 0.70 0.28 0.81 0.65 0.05 0.37 0.95 0.55 0.76 0.33 0.60 0.40 ]
[0.84 0.97 0.56 0.83 0.67 0.08 0.21 0.97 0.70 0.76 1.00 0.37 0.14 0.63 0.29 0.02 0.67 0.74 0.65 0.89 0.40 0.81 0.85 0.49 0.28 0.66 0.35 0.38 ]
[0.28 0.42 0.92 0.93 0.41 0.85 0.98 0.32 0.57 0.47 0.37 1.00 0.15 0.97 0.23 0.11 0.29 0.11 0.73 0.97 0.77 0.94 0.02 0.46 0.73 0.88 0.40 0.85 ]
[0.62 0.36 0.75 0.12 0.96 0.09 0.68 0.33 0.04 0.93 0.14 0.15 1.00 0.39 0.37 0.42 0.32 0.57 0.00 0.80 0.85 0.69 0.70 0.08 0.27 0.14 0.68 0.16 ]
[0.35 0.41 0.71 0.17 0.73 0.37 0.37 0.56 0.64 0.53 0.63 0.97 0.39 1.00 0.19 0.45 0.99 0.08 0.28 0.61 0.34 0.47 0.04 0.93 0.01 0.50 0.73 0.15 ]
[0.98 0.81 0.25 0.09 0.30 0.89 0.55 0.53 0.94 0.08 0.29 0.23 0.37 0.19 1.00 0.83 0.60 0.70 0.50 0.74 0.24 0.56 0.08 0.03 0.98 0.85 0.16 0.18 ]
[0.44 0.92 0.10 0.65 0.46 0.90 0.50 0.58 0.34 0.59 0.02 0.11 0.42 0.45 0.83 1.00 0.77 0.94 0.37 0.71 0.12 0.53 0.04 0.45 0.32 0.54 0.25 0.52 ]
[0.24 0.45 0.50 0.13 0.70 0.12 0.45 0.95 0.02 0.70 0.67 0.29 0.32 0.99 0.60 0.77 1.00 0.67 0.95 0.22 0.14 0.91 0.70 0.48 0.21 0.63 0.80 0.49 ]
[0.48 0.87 0.52 0.58 0.46 0.26 0.47 0.22 0.16 0.28 0.74 0.11 0.57 0.08 0.70 0.94 0.67 1.00 0.64 0.24 0.94 0.59 0.30 0.16 0.55 0.30 0.83 0.44 ]
[0.92 1.00 0.86 0.28 0.27 0.12 0.93 0.09 0.49 0.81 0.65 0.73 0.00 0.28 0.50 0.37 0.95 0.64 1.00 0.52 0.20 0.12 0.06 0.16 0.60 0.43 0.56 0.13 ]
[0.86 0.29 0.77 0.33 0.70 0.89 0.25 0.08 0.50 0.65 0.89 0.97 0.80 0.61 0.74 0.71 0.22 0.24 0.52 1.00 0.23 0.32 0.37 0.59 0.80 0.29 0.63 0.94 ]
[0.22 0.89 0.03 0.41 0.73 0.26 0.05 0.28 0.80 0.05 0.40 0.77 0.85 0.34 0.24 0.12 0.14 0.94 0.20 0.23 1.00 0.43 0.18 0.35 0.90 0.40 0.70 0.98 ]
[0.24 0.75 0.53 0.10 0.09 0.83 0.87 0.61 0.98 0.37 0.81 0.94 0.69 0.47 0.56 0.53 0.91 0.59 0.12 0.32 0.43 1.00 0.32 0.48 0.58 0.31 0.71 0.76 ]
[0.92 0.36 0.58 0.59 0.57 0.86 0.19 0.73 0.27 0.95 0.85 0.02 0.70 0.04 0.08 0.04 0.70 0.30 0.06 0.37 0.18 0.32 1.00 0.73 0.13 0.46 0.59 0.32 ]
[0.90 0.99 0.14 0.60 0.58 0.64 0.11 0.08 0.83 0.55 0.49 0.46 0.08 0.93 0.03 0.45 0.48 0.16 0.16 0.59 0.35 0.48 0.73 1.00 0.79 0.12 0.27 0.59 ]
[0.39 0.11 0.62 0.20 0.30 0.78 0.72 0.10 0.25 0.76 0.28 0.73 0.27 0.01 0.98 0.32 0.21 0.55 0.60 0.80 0.90 0.58 0.13 0.79 1.00 0.80 0.73 0.63 ]
[0.40 0.45 0.77 0.71 0.14 0.82 0.69 0.70 0.86 0.33 0.66 0.88 0.14 0.50 0.85 0.54 0.63 0.30 0.43 0.29 0.40 0.31 0.46 0.12 0.80 1.00 0.00 0.64 ]
[0.63 0.16 0.60 0.97 0.19 0.76 0.29 0.25 0.33 0.60 0.35 0.40 0.68 0.73 0.16 0.25 0.80 0.83 0.56 0.63 0.70 0.71 0.59 0.27 0.73 0.00 1.00 0.79 ]
[0.12 0.98 0.15 0.99 0.19 0.35 0.59 0.12 0.46 0.40 0.38 0.85 0.16 0.15 0.18 0.52 0.49 0.44 0.13 0.94 0.98 0.76 0.32 0.59 0.63 0.64 0.79 1.00 ]
];
