D = 4;
n = [ 5 5 5 5 ];
N = 30;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.11 0.59 0.01 0.49 0.76 0.06 0.53 0.40 0.45 0.76 0.28 0.21 0.35 0.47 0.27 0.33 0.62 0.32 0.29 0.80 0.08 0.35 0.70 0.90 0.51 0.47 1.00 0.98 0.24 ]
[0.11 1.00 0.76 0.33 0.79 0.17 0.08 0.32 0.40 0.88 0.44 0.76 0.12 0.88 0.63 0.93 0.06 0.32 0.64 0.45 0.78 0.02 0.55 0.69 0.87 0.72 0.47 0.63 0.21 0.23 ]
[0.59 0.76 1.00 0.15 0.43 0.56 0.14 0.36 0.86 0.40 0.31 0.96 0.87 0.04 0.49 0.96 0.29 0.26 0.88 0.39 0.17 0.57 0.82 0.41 0.16 0.93 0.60 0.06 0.49 0.29 ]
[0.01 0.33 0.15 1.00 0.04 0.52 0.04 0.49 0.06 0.04 0.60 0.46 0.20 0.11 0.00 0.09 0.45 0.89 0.04 0.23 0.29 0.48 0.37 0.48 0.01 0.54 0.48 0.25 0.05 0.92 ]
[0.49 0.79 0.43 0.04 1.00 0.59 0.47 0.74 0.64 0.70 0.94 0.30 0.81 0.98 0.12 0.99 0.77 0.20 0.09 0.36 0.14 0.32 0.77 0.91 0.95 0.02 0.56 0.52 0.26 0.62 ]
[0.76 0.17 0.56 0.52 0.59 1.00 0.61 0.78 0.43 0.84 0.37 0.82 0.89 0.77 0.44 0.48 0.61 0.58 0.46 0.64 0.12 0.12 0.94 0.55 0.07 0.24 0.22 0.26 0.82 0.41 ]
[0.06 0.08 0.14 0.04 0.47 0.61 1.00 0.36 0.95 0.47 0.79 0.22 0.60 0.04 0.84 0.48 0.01 0.71 0.33 0.05 0.49 0.42 0.93 0.36 0.57 0.34 0.61 0.19 0.25 0.25 ]
[0.53 0.32 0.36 0.49 0.74 0.78 0.36 1.00 0.27 0.53 0.40 0.17 0.24 0.06 0.46 0.96 0.17 0.53 0.57 0.43 0.66 0.32 0.46 0.98 0.58 0.30 0.21 0.38 1.00 0.92 ]
[0.40 0.40 0.86 0.06 0.64 0.43 0.95 0.27 1.00 0.02 0.52 0.37 0.28 0.78 0.03 0.83 0.80 0.36 0.28 0.55 0.98 0.73 0.88 0.20 0.09 0.75 0.83 0.94 0.19 1.00 ]
[0.45 0.88 0.40 0.04 0.70 0.84 0.47 0.53 0.02 1.00 0.69 0.17 0.84 0.82 0.57 0.38 0.01 0.27 0.42 0.15 0.78 0.50 0.11 0.16 0.98 0.34 0.90 0.77 0.37 0.48 ]
[0.76 0.44 0.31 0.60 0.94 0.37 0.79 0.40 0.52 0.69 1.00 0.77 0.03 0.71 0.51 1.00 0.17 0.42 0.78 0.79 0.85 0.27 0.18 0.10 0.43 0.35 0.85 0.06 0.30 0.73 ]
[0.28 0.76 0.96 0.46 0.30 0.82 0.22 0.17 0.37 0.17 0.77 1.00 0.20 0.89 0.12 0.50 1.00 0.66 0.18 0.50 0.45 0.30 0.79 0.29 0.86 0.42 0.70 0.49 0.76 0.32 ]
[0.21 0.12 0.87 0.20 0.81 0.89 0.60 0.24 0.28 0.84 0.03 0.20 1.00 0.54 0.85 0.89 0.46 0.52 0.19 0.28 0.06 0.11 0.08 0.35 0.69 0.11 0.03 0.97 0.50 0.26 ]
[0.35 0.88 0.04 0.11 0.98 0.77 0.04 0.06 0.78 0.82 0.71 0.89 0.54 1.00 0.06 0.82 0.05 0.34 0.48 0.82 0.84 0.38 0.21 0.34 0.35 0.94 0.50 0.47 0.18 0.72 ]
[0.47 0.63 0.49 0.00 0.12 0.44 0.84 0.46 0.03 0.57 0.51 0.12 0.85 0.06 1.00 0.62 0.89 0.95 0.58 0.54 0.68 0.93 0.83 0.74 0.39 0.05 0.91 0.31 0.77 0.07 ]
[0.27 0.93 0.96 0.09 0.99 0.48 0.48 0.96 0.83 0.38 1.00 0.50 0.89 0.82 0.62 1.00 0.88 0.10 0.85 0.33 0.26 0.04 0.22 0.68 0.71 0.90 0.39 0.84 0.23 0.97 ]
[0.33 0.06 0.29 0.45 0.77 0.61 0.01 0.17 0.80 0.01 0.17 1.00 0.46 0.05 0.89 0.88 1.00 0.71 0.77 0.39 0.60 0.04 0.33 0.92 0.80 0.87 0.14 0.41 0.83 0.65 ]
[0.62 0.32 0.26 0.89 0.20 0.58 0.71 0.53 0.36 0.27 0.42 0.66 0.52 0.34 0.95 0.10 0.71 1.00 0.70 0.42 0.33 0.98 0.86 0.12 0.01 0.57 0.78 0.01 0.96 0.35 ]
[0.32 0.64 0.88 0.04 0.09 0.46 0.33 0.57 0.28 0.42 0.78 0.18 0.19 0.48 0.58 0.85 0.77 0.70 1.00 0.90 0.99 0.07 0.44 0.96 0.14 0.97 0.40 0.97 0.94 0.32 ]
[0.29 0.45 0.39 0.23 0.36 0.64 0.05 0.43 0.55 0.15 0.79 0.50 0.28 0.82 0.54 0.33 0.39 0.42 0.90 1.00 0.16 0.36 0.51 0.92 0.86 0.38 0.54 0.55 0.69 0.28 ]
[0.80 0.78 0.17 0.29 0.14 0.12 0.49 0.66 0.98 0.78 0.85 0.45 0.06 0.84 0.68 0.26 0.60 0.33 0.99 0.16 1.00 0.48 0.37 0.57 0.53 0.78 0.59 0.90 0.96 0.30 ]
[0.08 0.02 0.57 0.48 0.32 0.12 0.42 0.32 0.73 0.50 0.27 0.30 0.11 0.38 0.93 0.04 0.04 0.98 0.07 0.36 0.48 1.00 0.57 0.59 0.71 0.10 0.36 0.25 0.27 0.49 ]
[0.35 0.55 0.82 0.37 0.77 0.94 0.93 0.46 0.88 0.11 0.18 0.79 0.08 0.21 0.83 0.22 0.33 0.86 0.44 0.51 0.37 0.57 1.00 0.29 0.98 0.60 0.93 0.29 0.80 0.76 ]
[0.70 0.69 0.41 0.48 0.91 0.55 0.36 0.98 0.20 0.16 0.10 0.29 0.35 0.34 0.74 0.68 0.92 0.12 0.96 0.92 0.57 0.59 0.29 1.00 0.93 0.63 0.76 0.89 0.51 0.64 ]
[0.90 0.87 0.16 0.01 0.95 0.07 0.57 0.58 0.09 0.98 0.43 0.86 0.69 0.35 0.39 0.71 0.80 0.01 0.14 0.86 0.53 0.71 0.98 0.93 1.00 0.89 0.09 0.54 0.73 0.69 ]
[0.51 0.72 0.93 0.54 0.02 0.24 0.34 0.30 0.75 0.34 0.35 0.42 0.11 0.94 0.05 0.90 0.87 0.57 0.97 0.38 0.78 0.10 0.60 0.63 0.89 1.00 0.65 0.19 0.42 0.62 ]
[0.47 0.47 0.60 0.48 0.56 0.22 0.61 0.21 0.83 0.90 0.85 0.70 0.03 0.50 0.91 0.39 0.14 0.78 0.40 0.54 0.59 0.36 0.93 0.76 0.09 0.65 1.00 0.81 0.65 0.59 ]
[1.00 0.63 0.06 0.25 0.52 0.26 0.19 0.38 0.94 0.77 0.06 0.49 0.97 0.47 0.31 0.84 0.41 0.01 0.97 0.55 0.90 0.25 0.29 0.89 0.54 0.19 0.81 1.00 0.11 0.98 ]
[0.98 0.21 0.49 0.05 0.26 0.82 0.25 1.00 0.19 0.37 0.30 0.76 0.50 0.18 0.77 0.23 0.83 0.96 0.94 0.69 0.96 0.27 0.80 0.51 0.73 0.42 0.65 0.11 1.00 0.71 ]
[0.24 0.23 0.29 0.92 0.62 0.41 0.25 0.92 1.00 0.48 0.73 0.32 0.26 0.72 0.07 0.97 0.65 0.35 0.32 0.28 0.30 0.49 0.76 0.64 0.69 0.62 0.59 0.98 0.71 1.00 ]
];
