D = 2;
n = [ 5 5 ];
N = 10;
d = [1 1 1 1 1 2 2 2 2 2 ];
m = [
[1.00 0.13 0.01 0.96 0.05 0.77 0.06 0.88 0.56 0.94 ]
[0.13 1.00 0.77 0.96 0.97 0.67 0.63 0.08 0.42 0.82 ]
[0.01 0.77 1.00 0.99 0.58 0.07 0.38 0.47 0.96 0.64 ]
[0.96 0.96 0.99 1.00 0.80 0.72 0.51 0.74 0.83 0.69 ]
[0.05 0.97 0.58 0.80 1.00 0.57 0.37 0.70 0.09 0.71 ]
[0.77 0.67 0.07 0.72 0.57 1.00 0.62 0.42 0.97 0.35 ]
[0.06 0.63 0.38 0.51 0.37 0.62 1.00 0.21 0.63 0.56 ]
[0.88 0.08 0.47 0.74 0.70 0.42 0.21 1.00 0.05 0.20 ]
[0.56 0.42 0.96 0.83 0.09 0.97 0.63 0.05 1.00 0.46 ]
[0.94 0.82 0.64 0.69 0.71 0.35 0.56 0.20 0.46 1.00 ]
];
