D = 2;
n = [ 5 5 ];
N = 24;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.07 0.16 0.47 0.69 0.21 0.33 0.54 0.38 0.77 0.85 0.35 0.68 0.08 0.58 0.39 0.45 0.76 0.88 0.32 0.53 0.13 0.92 0.01 ]
[0.07 1.00 0.62 0.35 0.10 0.74 0.20 0.49 0.36 0.31 0.41 0.01 0.16 0.00 0.10 0.33 0.38 0.30 0.45 0.05 0.23 0.45 0.06 0.87 ]
[0.16 0.62 1.00 0.83 0.49 0.73 0.31 0.89 0.34 0.49 0.50 0.82 0.89 0.38 0.31 0.53 0.96 0.55 0.47 0.72 0.08 0.91 0.87 0.42 ]
[0.47 0.35 0.83 1.00 0.05 0.44 0.91 0.79 0.02 0.02 0.63 0.59 0.01 0.57 0.95 0.28 0.28 0.88 0.53 0.49 0.60 0.77 0.74 0.30 ]
[0.69 0.10 0.49 0.05 1.00 0.03 0.83 0.82 0.57 0.18 0.36 0.28 0.70 0.48 0.48 0.35 0.42 0.74 0.38 0.25 0.29 0.92 0.63 0.19 ]
[0.21 0.74 0.73 0.44 0.03 1.00 0.95 0.75 0.27 0.52 0.19 0.05 0.63 0.75 0.54 0.93 0.21 0.49 0.08 0.03 0.50 0.03 0.42 0.74 ]
[0.33 0.20 0.31 0.91 0.83 0.95 1.00 0.20 0.07 0.17 0.81 0.51 0.10 0.64 0.37 0.43 0.36 0.92 0.49 0.49 0.43 0.22 0.50 0.58 ]
[0.54 0.49 0.89 0.79 0.82 0.75 0.20 1.00 0.14 0.93 0.60 0.38 0.81 0.93 0.63 0.68 0.71 0.78 0.57 0.71 0.00 0.67 0.17 0.40 ]
[0.38 0.36 0.34 0.02 0.57 0.27 0.07 0.14 1.00 0.90 0.52 0.18 0.50 0.20 0.64 0.23 0.56 0.88 0.20 0.57 0.18 0.55 0.61 0.40 ]
[0.77 0.31 0.49 0.02 0.18 0.52 0.17 0.93 0.90 1.00 0.48 0.30 0.13 0.24 0.09 0.41 0.39 0.76 0.78 0.34 0.44 0.53 0.15 0.07 ]
[0.85 0.41 0.50 0.63 0.36 0.19 0.81 0.60 0.52 0.48 1.00 0.88 0.16 0.89 0.81 0.49 0.72 0.17 0.11 0.64 0.91 0.51 0.40 0.58 ]
[0.35 0.01 0.82 0.59 0.28 0.05 0.51 0.38 0.18 0.30 0.88 1.00 0.34 0.50 0.12 0.48 0.46 0.30 0.89 0.95 0.00 0.22 0.49 0.76 ]
[0.68 0.16 0.89 0.01 0.70 0.63 0.10 0.81 0.50 0.13 0.16 0.34 1.00 0.68 0.22 0.51 0.31 0.51 0.41 0.80 0.19 0.61 0.70 0.89 ]
[0.08 0.00 0.38 0.57 0.48 0.75 0.64 0.93 0.20 0.24 0.89 0.50 0.68 1.00 0.39 0.06 0.21 0.13 0.03 0.20 0.60 0.34 0.49 0.46 ]
[0.58 0.10 0.31 0.95 0.48 0.54 0.37 0.63 0.64 0.09 0.81 0.12 0.22 0.39 1.00 0.78 0.93 0.63 0.22 0.58 0.68 0.72 0.12 0.43 ]
[0.39 0.33 0.53 0.28 0.35 0.93 0.43 0.68 0.23 0.41 0.49 0.48 0.51 0.06 0.78 1.00 0.47 0.85 0.80 0.39 0.88 0.74 0.17 0.34 ]
[0.45 0.38 0.96 0.28 0.42 0.21 0.36 0.71 0.56 0.39 0.72 0.46 0.31 0.21 0.93 0.47 1.00 0.92 0.22 0.05 0.15 0.59 0.20 0.73 ]
[0.76 0.30 0.55 0.88 0.74 0.49 0.92 0.78 0.88 0.76 0.17 0.30 0.51 0.13 0.63 0.85 0.92 1.00 0.13 0.20 0.05 0.58 0.81 0.71 ]
[0.88 0.45 0.47 0.53 0.38 0.08 0.49 0.57 0.20 0.78 0.11 0.89 0.41 0.03 0.22 0.80 0.22 0.13 1.00 0.93 0.09 0.14 0.23 0.22 ]
[0.32 0.05 0.72 0.49 0.25 0.03 0.49 0.71 0.57 0.34 0.64 0.95 0.80 0.20 0.58 0.39 0.05 0.20 0.93 1.00 0.71 0.80 0.06 0.92 ]
[0.53 0.23 0.08 0.60 0.29 0.50 0.43 0.00 0.18 0.44 0.91 0.00 0.19 0.60 0.68 0.88 0.15 0.05 0.09 0.71 1.00 0.28 0.93 0.15 ]
[0.13 0.45 0.91 0.77 0.92 0.03 0.22 0.67 0.55 0.53 0.51 0.22 0.61 0.34 0.72 0.74 0.59 0.58 0.14 0.80 0.28 1.00 0.39 0.72 ]
[0.92 0.06 0.87 0.74 0.63 0.42 0.50 0.17 0.61 0.15 0.40 0.49 0.70 0.49 0.12 0.17 0.20 0.81 0.23 0.06 0.93 0.39 1.00 0.92 ]
[0.01 0.87 0.42 0.30 0.19 0.74 0.58 0.40 0.40 0.07 0.58 0.76 0.89 0.46 0.43 0.34 0.73 0.71 0.22 0.92 0.15 0.72 0.92 1.00 ]
];
