D = 2;
n = [ 5 5 ];
N = 19;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.97 0.19 0.81 0.17 0.23 0.71 0.18 0.30 0.54 0.11 0.98 0.27 0.45 0.63 0.73 0.16 0.22 0.20 ]
[0.97 1.00 0.94 0.73 0.26 0.66 0.70 0.65 0.30 0.51 0.70 0.37 0.51 0.33 0.93 0.93 0.55 0.43 0.85 ]
[0.19 0.94 1.00 0.39 0.84 0.10 0.09 0.27 0.79 0.59 0.13 0.26 0.10 0.09 0.62 0.97 0.71 0.83 0.45 ]
[0.81 0.73 0.39 1.00 0.25 0.63 0.66 0.34 0.33 0.71 0.51 0.59 0.24 0.32 0.47 0.02 0.45 0.73 0.36 ]
[0.17 0.26 0.84 0.25 1.00 0.91 0.71 0.08 0.07 0.73 0.25 0.52 0.28 0.80 0.08 0.21 0.59 0.94 0.09 ]
[0.23 0.66 0.10 0.63 0.91 1.00 0.36 0.40 0.08 0.65 0.55 0.46 0.66 0.32 0.44 0.24 0.61 0.53 0.10 ]
[0.71 0.70 0.09 0.66 0.71 0.36 1.00 0.22 0.29 0.31 0.55 0.97 0.34 0.67 0.00 0.53 0.18 0.39 0.46 ]
[0.18 0.65 0.27 0.34 0.08 0.40 0.22 1.00 0.67 0.97 0.39 0.44 0.95 0.22 0.38 0.60 0.82 0.72 0.29 ]
[0.30 0.30 0.79 0.33 0.07 0.08 0.29 0.67 1.00 0.87 0.69 0.35 0.02 0.49 0.41 0.73 0.31 0.12 0.88 ]
[0.54 0.51 0.59 0.71 0.73 0.65 0.31 0.97 0.87 1.00 0.47 0.66 0.01 0.41 0.91 0.87 0.56 0.60 0.49 ]
[0.11 0.70 0.13 0.51 0.25 0.55 0.55 0.39 0.69 0.47 1.00 0.48 0.60 0.62 0.02 0.92 0.12 0.83 0.57 ]
[0.98 0.37 0.26 0.59 0.52 0.46 0.97 0.44 0.35 0.66 0.48 1.00 0.78 0.63 0.72 0.02 0.64 0.99 0.22 ]
[0.27 0.51 0.10 0.24 0.28 0.66 0.34 0.95 0.02 0.01 0.60 0.78 1.00 0.45 0.73 0.36 0.33 0.92 0.64 ]
[0.45 0.33 0.09 0.32 0.80 0.32 0.67 0.22 0.49 0.41 0.62 0.63 0.45 1.00 0.93 0.81 0.08 0.74 0.35 ]
[0.63 0.93 0.62 0.47 0.08 0.44 0.00 0.38 0.41 0.91 0.02 0.72 0.73 0.93 1.00 0.65 0.82 0.53 0.63 ]
[0.73 0.93 0.97 0.02 0.21 0.24 0.53 0.60 0.73 0.87 0.92 0.02 0.36 0.81 0.65 1.00 0.72 0.15 0.47 ]
[0.16 0.55 0.71 0.45 0.59 0.61 0.18 0.82 0.31 0.56 0.12 0.64 0.33 0.08 0.82 0.72 1.00 0.76 0.82 ]
[0.22 0.43 0.83 0.73 0.94 0.53 0.39 0.72 0.12 0.60 0.83 0.99 0.92 0.74 0.53 0.15 0.76 1.00 0.52 ]
[0.20 0.85 0.45 0.36 0.09 0.10 0.46 0.29 0.88 0.49 0.57 0.22 0.64 0.35 0.63 0.47 0.82 0.52 1.00 ]
];
