D = 2;
n = [ 5 5 ];
N = 14;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.66 0.88 0.56 0.87 0.79 0.04 0.51 0.56 0.78 0.43 0.84 0.16 0.23 ]
[0.66 1.00 0.70 0.18 0.67 0.61 0.97 0.69 0.45 0.07 0.15 0.24 0.54 0.91 ]
[0.88 0.70 1.00 0.04 0.20 0.73 0.86 0.42 0.90 0.28 0.08 0.53 0.92 0.18 ]
[0.56 0.18 0.04 1.00 0.51 0.53 0.75 0.63 0.68 0.52 0.18 0.55 0.43 0.55 ]
[0.87 0.67 0.20 0.51 1.00 0.40 0.33 0.84 0.23 0.81 0.79 0.12 1.00 0.56 ]
[0.79 0.61 0.73 0.53 0.40 1.00 0.44 0.55 0.28 0.63 0.32 0.70 0.04 0.55 ]
[0.04 0.97 0.86 0.75 0.33 0.44 1.00 0.80 0.12 0.84 0.27 0.47 0.02 0.33 ]
[0.51 0.69 0.42 0.63 0.84 0.55 0.80 1.00 0.39 0.54 0.51 0.64 0.96 0.46 ]
[0.56 0.45 0.90 0.68 0.23 0.28 0.12 0.39 1.00 0.87 0.15 0.02 0.78 0.28 ]
[0.78 0.07 0.28 0.52 0.81 0.63 0.84 0.54 0.87 1.00 0.02 0.58 0.14 0.11 ]
[0.43 0.15 0.08 0.18 0.79 0.32 0.27 0.51 0.15 0.02 1.00 0.02 0.94 0.02 ]
[0.84 0.24 0.53 0.55 0.12 0.70 0.47 0.64 0.02 0.58 0.02 1.00 0.53 0.04 ]
[0.16 0.54 0.92 0.43 1.00 0.04 0.02 0.96 0.78 0.14 0.94 0.53 1.00 0.87 ]
[0.23 0.91 0.18 0.55 0.56 0.55 0.33 0.46 0.28 0.11 0.02 0.04 0.87 1.00 ]
];
