D = 2;
n = [ 5 5 ];
N = 22;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.19 0.43 0.12 0.73 0.12 0.01 0.16 0.74 0.05 0.37 0.93 0.72 0.80 0.65 0.92 0.78 0.87 0.93 0.38 0.30 0.53 ]
[0.19 1.00 0.82 0.26 0.16 0.44 0.30 0.29 0.31 0.72 0.26 0.60 0.32 0.99 0.38 0.67 0.12 0.57 0.01 0.33 0.43 0.11 ]
[0.43 0.82 1.00 0.93 0.93 0.12 0.23 0.67 0.88 0.32 0.89 0.92 0.39 0.83 0.57 0.05 0.71 0.21 0.54 0.78 0.45 0.95 ]
[0.12 0.26 0.93 1.00 0.91 0.93 0.57 0.17 0.14 0.80 0.45 0.40 0.26 0.86 0.10 0.96 0.10 0.65 0.92 0.68 0.41 0.70 ]
[0.73 0.16 0.93 0.91 1.00 0.23 0.53 0.82 0.10 0.59 0.62 0.13 0.43 0.14 0.91 0.33 0.09 0.68 0.17 0.97 0.39 0.09 ]
[0.12 0.44 0.12 0.93 0.23 1.00 0.63 0.08 0.82 0.49 0.83 0.11 0.78 0.50 0.37 0.11 0.32 1.00 0.53 0.90 0.83 0.35 ]
[0.01 0.30 0.23 0.57 0.53 0.63 1.00 0.37 0.75 0.34 0.24 0.24 0.60 0.31 0.46 0.08 0.90 0.49 0.21 0.71 0.77 0.73 ]
[0.16 0.29 0.67 0.17 0.82 0.08 0.37 1.00 0.26 0.76 0.97 0.15 0.18 0.05 0.91 0.20 0.98 0.06 0.52 0.44 0.58 0.01 ]
[0.74 0.31 0.88 0.14 0.10 0.82 0.75 0.26 1.00 0.82 0.95 0.59 0.15 0.57 0.89 0.40 0.06 0.14 0.70 0.77 0.56 0.03 ]
[0.05 0.72 0.32 0.80 0.59 0.49 0.34 0.76 0.82 1.00 0.64 0.24 0.71 0.45 0.92 0.75 0.85 0.66 0.41 0.75 0.41 0.45 ]
[0.37 0.26 0.89 0.45 0.62 0.83 0.24 0.97 0.95 0.64 1.00 0.72 0.05 0.44 0.61 0.97 0.47 0.49 0.29 0.55 0.94 0.40 ]
[0.93 0.60 0.92 0.40 0.13 0.11 0.24 0.15 0.59 0.24 0.72 1.00 0.65 0.17 0.57 0.10 0.33 0.20 0.07 0.53 0.23 0.63 ]
[0.72 0.32 0.39 0.26 0.43 0.78 0.60 0.18 0.15 0.71 0.05 0.65 1.00 0.30 0.05 0.10 0.49 0.09 0.43 0.73 0.28 0.63 ]
[0.80 0.99 0.83 0.86 0.14 0.50 0.31 0.05 0.57 0.45 0.44 0.17 0.30 1.00 0.10 0.36 0.90 0.88 0.81 0.36 0.45 0.02 ]
[0.65 0.38 0.57 0.10 0.91 0.37 0.46 0.91 0.89 0.92 0.61 0.57 0.05 0.10 1.00 0.71 0.34 0.48 0.72 0.57 0.41 0.33 ]
[0.92 0.67 0.05 0.96 0.33 0.11 0.08 0.20 0.40 0.75 0.97 0.10 0.10 0.36 0.71 1.00 0.31 0.97 0.09 0.25 0.34 0.98 ]
[0.78 0.12 0.71 0.10 0.09 0.32 0.90 0.98 0.06 0.85 0.47 0.33 0.49 0.90 0.34 0.31 1.00 0.00 0.99 0.19 0.72 0.72 ]
[0.87 0.57 0.21 0.65 0.68 1.00 0.49 0.06 0.14 0.66 0.49 0.20 0.09 0.88 0.48 0.97 0.00 1.00 0.64 0.85 0.97 0.60 ]
[0.93 0.01 0.54 0.92 0.17 0.53 0.21 0.52 0.70 0.41 0.29 0.07 0.43 0.81 0.72 0.09 0.99 0.64 1.00 0.55 0.11 0.08 ]
[0.38 0.33 0.78 0.68 0.97 0.90 0.71 0.44 0.77 0.75 0.55 0.53 0.73 0.36 0.57 0.25 0.19 0.85 0.55 1.00 0.27 0.13 ]
[0.30 0.43 0.45 0.41 0.39 0.83 0.77 0.58 0.56 0.41 0.94 0.23 0.28 0.45 0.41 0.34 0.72 0.97 0.11 0.27 1.00 0.75 ]
[0.53 0.11 0.95 0.70 0.09 0.35 0.73 0.01 0.03 0.45 0.40 0.63 0.63 0.02 0.33 0.98 0.72 0.60 0.08 0.13 0.75 1.00 ]
];
