D = 2;
n = [ 5 5 ];
N = 17;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.35 0.07 0.63 0.84 0.75 0.32 0.68 0.81 0.63 0.13 0.19 0.16 0.41 0.36 0.73 0.20 ]
[0.35 1.00 0.50 0.14 0.30 0.06 0.86 0.14 0.03 0.42 0.05 0.10 0.08 0.71 0.49 0.09 0.31 ]
[0.07 0.50 1.00 0.14 0.75 0.55 0.50 0.04 0.35 0.13 0.84 0.32 0.45 0.84 0.10 0.98 0.89 ]
[0.63 0.14 0.14 1.00 0.30 0.10 0.96 0.74 0.87 0.96 0.39 0.20 0.46 0.13 0.77 0.73 0.38 ]
[0.84 0.30 0.75 0.30 1.00 0.38 0.59 0.64 0.87 0.20 0.72 0.48 0.50 0.06 0.74 0.79 0.99 ]
[0.75 0.06 0.55 0.10 0.38 1.00 0.96 0.21 0.87 0.78 0.44 0.96 0.55 0.74 0.29 0.68 0.91 ]
[0.32 0.86 0.50 0.96 0.59 0.96 1.00 0.72 0.25 0.06 0.67 0.76 0.02 0.69 0.36 0.62 0.53 ]
[0.68 0.14 0.04 0.74 0.64 0.21 0.72 1.00 0.27 0.01 0.77 0.17 0.36 0.54 0.59 0.32 0.54 ]
[0.81 0.03 0.35 0.87 0.87 0.87 0.25 0.27 1.00 0.79 0.46 0.98 0.23 0.26 0.93 0.73 0.10 ]
[0.63 0.42 0.13 0.96 0.20 0.78 0.06 0.01 0.79 1.00 0.41 0.32 0.31 0.35 0.74 0.05 0.63 ]
[0.13 0.05 0.84 0.39 0.72 0.44 0.67 0.77 0.46 0.41 1.00 0.23 0.29 0.99 0.21 0.51 0.15 ]
[0.19 0.10 0.32 0.20 0.48 0.96 0.76 0.17 0.98 0.32 0.23 1.00 0.14 0.48 0.86 0.60 0.10 ]
[0.16 0.08 0.45 0.46 0.50 0.55 0.02 0.36 0.23 0.31 0.29 0.14 1.00 0.75 0.11 0.42 0.51 ]
[0.41 0.71 0.84 0.13 0.06 0.74 0.69 0.54 0.26 0.35 0.99 0.48 0.75 1.00 0.45 0.47 0.10 ]
[0.36 0.49 0.10 0.77 0.74 0.29 0.36 0.59 0.93 0.74 0.21 0.86 0.11 0.45 1.00 0.18 0.24 ]
[0.73 0.09 0.98 0.73 0.79 0.68 0.62 0.32 0.73 0.05 0.51 0.60 0.42 0.47 0.18 1.00 0.98 ]
[0.20 0.31 0.89 0.38 0.99 0.91 0.53 0.54 0.10 0.63 0.15 0.10 0.51 0.10 0.24 0.98 1.00 ]
];
