D = 2;
n = [ 5 5 ];
N = 18;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.94 0.54 0.85 0.11 0.21 0.43 0.70 0.83 0.30 0.48 0.63 0.70 0.42 0.09 0.11 0.04 0.05 ]
[0.94 1.00 0.43 0.38 0.24 0.84 0.21 0.52 0.96 0.38 0.97 0.77 0.84 0.84 0.91 0.72 0.33 0.48 ]
[0.54 0.43 1.00 0.02 0.74 0.80 0.59 0.23 0.52 0.54 0.56 0.36 0.87 0.82 0.97 0.23 0.81 0.71 ]
[0.85 0.38 0.02 1.00 0.10 0.78 0.30 0.71 0.43 0.78 0.63 0.41 0.87 0.77 0.88 0.38 0.16 0.84 ]
[0.11 0.24 0.74 0.10 1.00 0.13 1.00 0.87 0.39 0.88 0.52 0.31 0.49 0.40 0.67 0.42 0.98 0.30 ]
[0.21 0.84 0.80 0.78 0.13 1.00 0.38 0.67 0.67 0.61 0.66 0.54 0.75 0.55 0.41 0.25 0.13 0.69 ]
[0.43 0.21 0.59 0.30 1.00 0.38 1.00 0.50 0.81 0.74 0.87 0.20 0.09 0.12 0.09 0.57 0.14 0.02 ]
[0.70 0.52 0.23 0.71 0.87 0.67 0.50 1.00 0.23 0.92 0.03 0.63 0.32 0.79 0.55 0.89 0.95 0.53 ]
[0.83 0.96 0.52 0.43 0.39 0.67 0.81 0.23 1.00 0.38 0.43 0.22 0.12 0.38 0.01 0.66 0.27 0.77 ]
[0.30 0.38 0.54 0.78 0.88 0.61 0.74 0.92 0.38 1.00 0.76 0.77 0.57 0.75 0.15 0.55 0.50 0.79 ]
[0.48 0.97 0.56 0.63 0.52 0.66 0.87 0.03 0.43 0.76 1.00 0.84 0.94 0.03 0.01 0.60 0.27 0.01 ]
[0.63 0.77 0.36 0.41 0.31 0.54 0.20 0.63 0.22 0.77 0.84 1.00 0.43 0.23 0.19 0.85 0.08 0.60 ]
[0.70 0.84 0.87 0.87 0.49 0.75 0.09 0.32 0.12 0.57 0.94 0.43 1.00 0.03 0.17 0.84 0.48 0.20 ]
[0.42 0.84 0.82 0.77 0.40 0.55 0.12 0.79 0.38 0.75 0.03 0.23 0.03 1.00 0.72 0.79 0.25 0.65 ]
[0.09 0.91 0.97 0.88 0.67 0.41 0.09 0.55 0.01 0.15 0.01 0.19 0.17 0.72 1.00 0.03 0.83 0.74 ]
[0.11 0.72 0.23 0.38 0.42 0.25 0.57 0.89 0.66 0.55 0.60 0.85 0.84 0.79 0.03 1.00 0.87 0.82 ]
[0.04 0.33 0.81 0.16 0.98 0.13 0.14 0.95 0.27 0.50 0.27 0.08 0.48 0.25 0.83 0.87 1.00 0.76 ]
[0.05 0.48 0.71 0.84 0.30 0.69 0.02 0.53 0.77 0.79 0.01 0.60 0.20 0.65 0.74 0.82 0.76 1.00 ]
];
