D = 4;
n = [4 4 4 4];

N = 20;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4];
m = [
    [1.00 0.70 0.78 0.77 1.00 1.00 0.71 0.71 0.82 0.87 0.73 0.73 0.77 0.71 1.00 1.00 0.14 0.91 0.76 0.93]
    [1.00 1.00 0.76 0.70 0.89 0.73 0.70 0.14 0.74 0.92 0.83 0.70 0.83 1.00 0.73 0.85 0.84 0.83 0.92 0.79]
    [0.84 0.83 1.00 0.82 0.90 0.83 0.14 0.78 0.85 0.89 0.14 0.78 0.86 0.76 0.91 0.73 0.80 0.93 0.85 0.87]
    [0.83 0.81 0.75 1.00 0.81 0.91 1.00 1.00 0.72 0.74 0.86 0.92 0.74 0.72 0.87 0.76 0.74 0.71 0.73 1.00]
    [0.95 0.69 0.83 0.87 1.00 0.69 0.00 0.70 0.84 0.82 0.75 0.83 0.82 0.77 1.00 0.70 0.82 0.82 0.70 1.00]
    [0.83 0.93 0.83 0.76 0.82 1.00 1.00 0.00 0.83 0.92 0.84 1.00 0.77 0.68 0.72 0.68 0.77 0.86 0.79 0.93]
    [0.91 0.77 0.84 0.88 0.82 0.84 1.00 0.92 0.81 0.92 0.89 0.69 1.00 0.69 0.74 0.86 0.75 0.71 0.85 0.78]
    [0.76 0.94 0.86 0.78 0.93 0.85 0.76 1.00 0.76 0.88 0.94 0.94 0.72 0.84 0.95 1.00 0.81 0.88 0.82 0.71]
    [0.91 0.84 0.00 0.75 0.93 0.86 0.79 0.69 1.00 1.00 0.92 0.84 0.86 0.88 0.71 0.87 0.85 0.88 0.86 0.85]
    [0.73 0.95 0.88 1.00 0.93 1.00 0.00 0.00 0.72 1.00 1.00 1.00 0.93 0.91 0.83 0.69 0.83 0.94 0.83 0.83]
    [0.71 0.88 0.92 0.86 0.87 1.00 0.69 0.78 0.71 1.00 1.00 1.00 0.71 0.74 0.90 0.90 0.71 0.72 0.72 0.80]
    [0.14 0.74 0.80 0.94 0.74 1.00 0.76 0.83 0.80 0.72 0.93 1.00 0.92 0.92 1.00 0.87 0.70 0.70 0.14 0.89]
    [1.00 0.78 0.90 1.00 0.82 0.93 0.77 1.00 0.73 0.71 0.84 0.94 1.00 0.77 0.88 1.00 0.81 0.93 0.71 1.00]
    [0.72 1.00 0.91 0.69 0.80 0.82 0.14 0.71 0.76 0.80 1.00 0.92 0.75 1.00 1.00 0.85 0.77 1.00 0.94 0.74]
    [1.00 0.78 0.92 0.70 0.73 0.83 0.90 0.70 0.90 0.87 0.69 0.89 0.76 0.90 1.00 0.86 1.00 1.00 0.84 0.70]
    [0.83 0.76 0.91 1.00 0.77 0.77 0.87 0.69 0.73 1.00 1.00 0.78 0.78 0.86 0.93 1.00 0.00 0.89 0.82 1.00]
    [0.80 0.87 1.00 0.92 0.73 0.85 0.94 0.69 0.84 0.91 0.87 0.83 0.95 0.71 0.79 0.85 1.00 0.70 0.73 0.71]
    [0.84 0.68 0.80 0.75 0.78 1.00 0.85 0.95 0.80 0.85 0.00 0.86 0.89 1.00 0.76 0.75 0.77 1.00 0.70 0.79]
    [0.90 0.84 0.79 0.89 0.87 0.14 1.00 0.85 0.85 0.14 0.88 0.93 0.84 1.00 0.87 0.88 0.81 1.00 1.00 0.93]
    [0.68 1.00 0.70 1.00 0.94 1.00 0.84 0.70 0.72 0.78 1.00 0.78 0.91 0.88 0.81 0.92 0.78 0.00 0.76 1.00]
];
