D = 2;
n = [2 2];

N = 10;
d = [1 1 1 1 1 2 2 2 2 2];
m = [
    [1.00 0.33 0.65 0.34 0.14 0.29 0.73 0.75 0.14 0.14]
    [0.33 1.00 0.70 0.00 0.57 0.00 0.22 0.72 1.00 0.43]
    [0.65 0.70 1.00 0.14 0.34 0.00 0.44 0.14 0.22 0.00]
    [0.34 0.00 0.14 1.00 0.50 0.76 0.85 0.65 0.40 0.24]
    [0.14 0.57 0.34 0.50 1.00 0.78 1.00 0.14 0.14 0.59]
    [0.29 0.00 0.00 0.76 0.78 1.00 1.00 0.77 0.86 0.22]
    [0.73 0.22 0.44 0.85 1.00 1.00 1.00 0.65 0.50 0.27]
    [0.75 0.72 0.14 0.65 0.14 0.77 0.65 1.00 0.00 0.72]
    [0.14 1.00 0.22 0.40 0.14 0.86 0.50 0.00 1.00 0.81]
    [0.14 0.43 0.00 0.24 0.59 0.22 0.27 0.72 0.81 1.00]
];
