D = 3;
n = [3 3 3];

N = 34;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3];
m = [
    [1.00 1.00 0.90 0.82 1.00 0.94 1.00 0.70 0.90 0.86 0.77 0.73 0.81 0.83 0.69 0.91 0.93 0.90 0.86 0.00 0.93 0.93 1.00 0.74 0.71 0.84 0.85 0.90 0.69 0.69 0.93 0.79 0.82 0.79]
    [0.71 1.00 0.88 0.91 0.69 0.92 0.81 0.75 0.95 0.93 0.87 1.00 1.00 0.94 0.72 1.00 0.90 0.83 0.75 0.76 0.75 0.77 0.78 0.73 0.72 0.76 0.94 1.00 1.00 0.86 0.90 1.00 0.86 0.70]
    [0.74 0.76 1.00 0.14 0.81 0.87 0.87 1.00 0.70 0.86 0.80 0.89 0.90 0.92 0.94 0.00 0.69 0.76 0.69 0.90 0.91 0.85 1.00 0.79 1.00 1.00 0.84 0.93 0.85 0.80 0.85 0.89 0.75 0.86]
    [0.68 0.87 0.81 1.00 0.72 0.77 0.88 0.79 0.74 0.88 0.80 0.81 0.89 0.69 0.81 0.93 0.86 0.93 0.71 0.92 1.00 0.91 0.88 0.84 1.00 0.83 1.00 0.81 0.93 1.00 0.95 0.85 1.00 0.69]
    [0.82 0.71 0.70 0.79 1.00 0.94 1.00 0.85 1.00 0.81 0.00 0.87 0.89 1.00 0.93 1.00 0.80 0.94 0.89 0.81 0.93 0.76 0.95 0.71 0.93 0.76 0.81 0.89 0.70 1.00 0.81 0.83 0.82 0.73]
    [0.93 1.00 0.83 0.86 1.00 1.00 0.79 0.94 0.70 0.72 0.85 0.81 0.70 0.91 0.81 0.72 0.77 0.76 0.84 1.00 0.83 0.82 0.71 0.89 1.00 0.72 1.00 0.90 0.86 0.83 0.85 0.75 0.92 0.70]
    [0.14 0.78 0.73 0.72 0.80 0.82 1.00 0.93 0.75 0.85 0.79 0.00 0.90 0.77 1.00 0.76 1.00 0.93 0.81 0.82 0.78 0.89 0.81 0.71 0.79 0.93 0.89 0.73 1.00 0.78 0.83 1.00 0.89 0.88]
    [0.92 0.80 0.90 0.68 1.00 0.89 0.70 1.00 0.94 1.00 0.80 0.91 0.73 0.82 1.00 0.86 0.72 0.74 0.87 0.93 0.87 0.82 0.72 0.73 0.78 1.00 0.80 0.92 1.00 0.87 0.76 0.75 0.72 1.00]
    [0.70 0.14 0.88 1.00 0.82 1.00 0.71 0.91 1.00 0.74 0.92 0.74 0.87 0.82 0.69 0.69 1.00 0.94 0.76 0.85 0.71 0.69 0.92 0.83 0.75 0.79 0.82 0.71 0.94 0.75 1.00 0.74 0.94 0.85]
    [0.74 0.00 0.81 0.79 0.85 0.85 1.00 0.79 0.81 1.00 0.86 0.91 0.82 0.79 0.82 0.77 0.90 0.94 0.84 0.75 0.89 1.00 0.73 1.00 0.76 0.81 0.74 0.94 0.86 0.85 0.89 0.75 0.77 0.73]
    [0.83 0.72 0.91 0.69 0.88 0.83 0.90 0.76 1.00 0.92 1.00 0.90 0.81 1.00 0.78 0.68 0.72 1.00 0.85 0.69 0.70 0.14 0.79 0.94 0.71 0.76 0.83 0.74 0.87 0.81 1.00 0.88 0.88 0.85]
    [0.83 0.75 1.00 0.78 0.80 0.77 0.82 0.94 0.91 0.75 0.79 1.00 0.95 1.00 0.93 0.75 0.71 0.78 0.89 0.94 1.00 0.77 0.85 0.85 0.85 0.68 0.75 0.85 0.91 0.94 1.00 0.82 0.89 0.91]
    [0.78 0.93 0.87 0.93 0.68 0.91 0.91 0.14 0.94 0.93 1.00 0.79 1.00 0.82 0.85 0.82 0.93 0.86 0.84 0.71 1.00 1.00 1.00 0.77 0.85 1.00 1.00 0.87 0.69 1.00 0.94 0.89 0.85 0.79]
    [0.68 0.79 0.71 0.70 1.00 0.87 0.89 0.86 0.76 1.00 0.82 0.77 0.73 1.00 0.91 0.79 0.73 0.87 0.84 0.88 0.69 1.00 0.71 0.80 0.90 1.00 0.83 0.91 0.87 0.93 0.87 0.92 0.68 0.73]
    [0.84 0.88 0.88 0.87 0.89 0.88 0.14 1.00 0.85 0.82 0.91 0.78 0.89 1.00 1.00 0.85 0.86 0.69 0.88 0.78 0.86 0.14 0.79 0.82 1.00 1.00 0.75 0.85 0.86 1.00 0.68 0.83 0.88 0.69]
    [0.69 0.76 1.00 0.72 0.00 0.76 1.00 0.14 1.00 0.74 0.77 0.71 1.00 0.75 0.78 1.00 0.83 0.87 0.85 0.94 1.00 0.81 0.14 0.90 1.00 0.68 0.80 0.72 0.90 0.92 0.71 0.72 0.77 0.74]
    [0.70 0.81 0.89 0.68 1.00 1.00 0.76 0.89 0.73 0.85 0.87 0.94 0.94 1.00 0.82 1.00 1.00 0.86 0.77 0.89 0.84 0.88 0.88 0.78 0.70 0.85 0.86 0.89 1.00 1.00 1.00 0.70 0.89 0.68]
