D = 4;
n = [4 4 4 4];

N = 30;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4];
m = [
    [1.00 0.76 1.00 1.00 0.84 0.72 0.82 0.72 0.92 0.89 0.81 0.75 0.76 0.85 0.79 0.70 0.70 0.84 1.00 0.92 0.00 0.80 1.00 0.68 0.83 0.75 0.72 0.93 0.81 0.90]
    [0.83 1.00 0.71 0.92 0.72 0.89 0.94 0.93 0.75 1.00 0.72 0.88 0.90 0.94 0.80 0.91 0.72 0.90 0.83 0.85 0.84 0.72 1.00 1.00 0.90 0.89 0.91 0.76 0.69 0.78]
    [0.93 0.70 1.00 1.00 1.00 1.00 0.80 1.00 0.83 1.00 0.94 0.00 0.74 0.77 1.00 0.73 0.90 0.83 1.00 1.00 0.80 0.85 0.14 0.71 0.69 0.93 0.71 0.76 0.78 0.73]
    [0.88 0.84 0.14 1.00 0.85 0.72 0.86 0.87 0.84 0.80 0.70 0.77 0.69 0.79 0.90 0.71 1.00 0.94 1.00 0.83 0.00 0.90 0.69 0.82 0.80 1.00 0.88 0.70 0.77 0.81]
    [0.14 0.86 0.91 1.00 1.00 0.76 0.92 0.82 0.71 0.78 0.87 0.71 0.87 0.85 0.80 0.77 0.86 0.81 0.69 0.86 0.90 1.00 0.76 0.92 0.90 1.00 1.00 0.80 0.87 0.85]
    [1.00 0.70 0.69 0.76 0.91 1.00 0.81 0.71 0.78 0.92 0.70 0.87 0.81 0.84 1.00 0.74 0.71 1.00 0.83 0.79 0.69 0.91 0.71 0.86 0.86 0.94 0.80 0.69 1.00 0.77]
    [0.76 0.75 0.93 0.78 1.00 1.00 1.00 0.83 0.92 0.84 1.00 0.86 0.80 0.77 0.84 0.80 0.90 1.00 0.77 0.14 0.91 0.88 0.86 0.93 0.94 1.00 0.82 0.83 0.77 0.74]
    [1.00 0.71 0.76 0.90 0.84 0.93 0.80 1.00 0.86 0.92 0.81 0.80 1.00 0.79 0.93 0.95 0.89 0.87 0.79 0.69 0.93 0.83 0.82 0.85 0.73 0.82 0.69 0.83 0.85 0.80]
    [1.00 0.85 0.74 0.72 0.82 1.00 0.78 0.78 1.00 0.92 0.78 0.88 0.82 0.90 1.00 1.00 0.81 1.00 0.70 0.85 0.71 0.69 0.74 0.81 0.71 0.73 0.72 0.77 0.75 1.00]
    [0.74 0.93 0.73 0.84 0.83 0.72 0.87 0.78 0.78 1.00 0.71 0.90 0.87 0.71 0.85 0.93 0.68 0.70 0.90 0.87 0.75 0.79 1.00 0.90 0.78 0.73 0.89 0.72 0.85 0.76]
