D = 3;
n = [3 3 3];

N = 30;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3];
m = [
    [1.00 0.86 0.70 0.82 0.14 0.84 0.87 1.00 0.14 0.34 0.00 0.62 1.00 0.14 0.42 0.00 0.00 0.72 0.64 0.14 0.80 0.00 0.27 0.83 0.88 0.82 0.88 0.00 1.00 1.00]
    [0.86 1.00 1.00 0.80 0.34 0.28 0.81 0.30 0.57 0.61 0.39 0.14 1.00 0.37 1.00 0.70 0.60 0.77 0.76 0.49 0.86 0.51 1.00 0.00 0.30 0.41 0.23 0.23 0.23 0.69]
    [0.70 1.00 1.00 0.40 0.21 0.00 1.00 0.79 0.26 0.89 0.38 0.52 0.24 0.32 0.38 0.20 1.00 0.78 0.67 0.72 0.14 0.48 0.00 0.00 0.84 0.64 0.56 0.52 0.36 0.14]
    [0.82 0.80 0.40 1.00 0.53 0.62 0.53 0.37 0.14 0.00 0.53 0.84 0.14 0.47 0.27 0.84 0.69 0.80 0.44 0.75 0.21 0.46 0.58 0.85 0.63 0.67 0.74 0.54 0.42 0.00]
    [0.14 0.34 0.21 0.53 1.00 0.41 0.56 0.79 0.48 0.84 0.83 0.67 0.35 0.64 0.14 0.52 0.85 0.57 0.25 0.56 0.89 0.56 0.00 0.57 1.00 0.26 0.32 0.63 0.21 0.25]
    [0.84 0.28 0.00 0.62 0.41 1.00 1.00 0.43 0.84 0.82 0.66 0.76 0.62 0.00 0.78 0.85 0.14 0.14 0.67 0.00 0.60 0.00 0.00 0.73 0.37 0.00 0.90 0.89 0.14 0.64]
    [0.87 0.81 1.00 0.53 0.56 1.00 1.00 0.14 0.38 0.45 0.39 0.28 0.83 0.78 1.00 0.55 0.80 0.42 0.45 0.84 0.23 0.00 0.14 0.85 0.85 0.50 0.55 0.14 0.49 0.34]
    [1.00 0.30 0.79 0.37 0.79 0.43 0.14 1.00 0.83 0.84 0.39 0.90 0.62 0.00 0.82 0.14 0.50 0.56 0.48 0.72 0.82 0.40 0.14 0.78 0.41 0.58 0.20 0.00 0.71 1.00]
    [0.14 0.57 0.26 0.14 0.48 0.84 0.38 0.83 1.00 0.00 0.87 0.60 0.85 0.23 1.00 1.00 0.00 0.25 0.00 0.59 0.49 0.46 0.35 0.86 0.34 0.90 0.32 0.00 0.39 0.38]
    [0.34 0.61 0.89 0.00 0.84 0.82 0.45 0.84 0.00 1.00 0.41 0.54 0.60 0.23 0.33 0.32 0.14 1.00 0.31 0.87 1.00 0.87 0.43 0.14 0.44 0.52 0.14 0.86 0.30 0.80]
    [0.00 0.39 0.38 0.53 0.83 0.66 0.39 0.39 0.87 0.41 1.00 0.67 0.74 0.14 0.49 0.20 0.52 0.14 0.00 0.26 0.39 0.14 0.22 0.64 0.28 0.78 1.00 0.75 0.44 0.77]
    [0.62 0.14 0.52 0.84 0.67 0.76 0.28 0.90 0.60 0.54 0.67 1.00 0.84 1.00 1.00 1.00 0.77 1.00 0.43 0.14 0.74 0.33 0.36 0.34 0.14 0.00 0.48 0.70 0.86 0.83]
