D = 3;
n = [3 3 3];

N = 32;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3];
m = [
    [1.00 1.00 0.74 0.81 0.70 0.69 0.74 0.93 0.84 0.74 0.86 0.88 0.86 0.68 0.76 0.69 0.76 0.95 1.00 0.14 0.92 0.74 0.78 0.86 0.72 0.92 0.87 0.79 0.91 0.94 0.71 0.79]
    [1.00 1.00 0.72 0.94 0.83 0.72 0.78 0.73 0.69 0.88 0.94 1.00 0.76 0.78 0.71 0.74 0.78 1.00 0.71 0.71 0.68 0.83 1.00 0.69 0.68 0.81 0.72 0.82 0.73 0.76 0.84 0.89]
    [0.74 0.72 1.00 0.71 0.69 0.85 0.72 0.14 0.71 0.84 0.91 0.86 0.91 1.00 0.72 0.95 1.00 1.00 0.69 0.84 0.83 0.87 0.85 0.14 0.83 0.83 1.00 0.74 0.84 1.00 0.78 0.71]
    [0.81 0.94 0.71 1.00 0.84 0.79 0.68 0.73 1.00 0.94 0.86 0.92 0.76 0.89 0.76 0.72 0.85 0.70 0.79 0.89 0.68 0.78 1.00 1.00 0.85 1.00 0.82 0.73 0.80 0.91 0.79 0.72]
    [0.70 0.83 0.69 0.84 1.00 0.74 0.89 0.95 1.00 0.73 0.85 1.00 0.70 0.75 0.84 0.76 0.00 0.72 0.84 0.75 0.75 0.86 0.71 0.93 0.80 0.72 1.00 0.84 0.89 1.00 0.76 0.78]
    [0.69 0.72 0.85 0.79 0.74 1.00 0.72 0.00 0.73 0.90 0.80 0.78 0.78 0.70 0.73 0.77 0.89 0.76 0.78 1.00 0.81 0.92 0.82 0.88 0.80 1.00 0.91 0.14 1.00 0.71 1.00 0.92]
    [0.74 0.78 0.72 0.68 0.89 0.72 1.00 1.00 0.69 1.00 0.83 0.86 0.79 0.93 0.87 0.81 0.84 0.90 0.75 0.00 0.75 0.72 1.00 0.71 1.00 0.73 1.00 0.88 0.72 0.88 1.00 0.71]
    [0.93 0.73 0.14 0.73 0.95 0.00 1.00 1.00 0.78 0.76 0.95 0.80 1.00 0.93 1.00 0.75 0.81 0.75 0.69 0.94 0.72 0.87 0.87 1.00 0.83 0.86 0.73 0.91 0.88 0.80 0.80 0.14]
    [0.84 0.69 0.71 1.00 1.00 0.73 0.69 0.78 1.00 0.74 0.92 1.00 0.73 0.95 0.84 1.00 0.93 0.94 0.76 0.72 0.00 0.83 1.00 0.82 0.83 0.85 0.70 0.14 0.93 0.76 0.84 0.76]
    [0.74 0.88 0.84 0.94 0.73 0.90 1.00 0.76 0.74 1.00 0.86 0.69 1.00 0.72 0.92 0.88 1.00 1.00 0.84 0.83 0.74 0.79 0.92 1.00 0.80 0.87 0.84 0.82 0.80 0.84 0.85 0.73]
